EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,StateClassID,AverageTemperature
Mixedwood Plains,Quebec,Jack pine,Northeastern Highlands,Connecticut,Forest: White/Red/Jack Pine Group,8.147462344
Atlantic Maritime,Quebec,Jack pine,Northeastern Coastal Zone,Connecticut,Forest: White/Red/Jack Pine Group,9.609901813
Atlantic Maritime,Quebec,Jack pine,Southern Coastal Plain,Florida,Forest: White/Red/Jack Pine Group,23.45059878
Mixedwood Plains,Ontario,Jack pine,Blue Ridge,Georgia,Forest: White/Red/Jack Pine Group,13.78594156
Mixedwood Plains,Ontario,Jack pine,Central Corn Belt Plains,Indiana,Forest: White/Red/Jack Pine Group,10.03119791
Mixedwood Plains,Ontario,Jack pine,Eastern Corn Belt Plains,Indiana,Forest: White/Red/Jack Pine Group,10.80944465
Mixedwood Plains,Ontario,Jack pine,Southern Michigan/Northern Indiana Drift Plains,Indiana,Forest: White/Red/Jack Pine Group,10.03364947
Mixedwood Plains,Ontario,Jack pine,Interior River Valleys and Hills,Indiana,Forest: White/Red/Jack Pine Group,11.93471457
Mixedwood Plains,Ontario,Jack pine,Driftless Area,Iowa,Forest: White/Red/Jack Pine Group,8.923308824
Mixedwood Plains,Ontario,Jack pine,Southwestern Appalachians,Kentucky,Forest: White/Red/Jack Pine Group,13.13420777
Mixedwood Plains,Ontario,Jack pine,Central Appalachians,Kentucky,Forest: White/Red/Jack Pine Group,12.43129057
Mixedwood Plains,Ontario,Jack pine,Western Allegheny Plateau,Kentucky,Forest: White/Red/Jack Pine Group,12.89298048
Mixedwood Plains,Quebec,Jack pine,Northeastern Highlands,Maine,Forest: White/Red/Jack Pine Group,6.690812616
Atlantic Maritime,Quebec,Jack pine,Northeastern Coastal Zone,Maine,Forest: White/Red/Jack Pine Group,7.958613318
Mixedwood Plains,Quebec,Jack pine,Acadian Plains and Hills,Maine,Forest: White/Red/Jack Pine Group,6.941179852
Mixedwood Plains,Quebec,Jack pine,Ridge and Valley,Maryland,Forest: White/Red/Jack Pine Group,10.74778576
Mixedwood Plains,Quebec,Jack pine,Central Appalachians,Maryland,Forest: White/Red/Jack Pine Group,8.492221648
Mixedwood Plains,Quebec,Jack pine,Northeastern Highlands,Massachusetts,Forest: White/Red/Jack Pine Group,7.7372886
Atlantic Maritime,Quebec,Jack pine,Northeastern Coastal Zone,Massachusetts,Forest: White/Red/Jack Pine Group,9.330810296
Atlantic Maritime,Quebec,Jack pine,Atlantic Coastal Pine Barrens,Massachusetts,Forest: White/Red/Jack Pine Group,10.27844192
Boreal Shield West,Ontario,Jack pine,Northern Lakes and Forests,Michigan,Forest: White/Red/Jack Pine Group,6.305239029
Mixedwood Plains,Ontario,Jack pine,North Central Hardwood Forests,Michigan,Forest: White/Red/Jack Pine Group,7.796420209
Mixedwood Plains,Ontario,Jack pine,Southern Michigan/Northern Indiana Drift Plains,Michigan,Forest: White/Red/Jack Pine Group,8.487181162
Mixedwood Plains,Ontario,Jack pine,Huron/Erie Lake Plains,Michigan,Forest: White/Red/Jack Pine Group,8.504582839
Mixedwood Plains,Ontario,Jack pine,Western Corn Belt Plains,Minnesota,Forest: White/Red/Jack Pine Group,7.410371885
Mixedwood Plains,Ontario,Jack pine,Northern Minnesota Wetlands,Minnesota,Forest: White/Red/Jack Pine Group,3.621817011
Boreal Shield West,Ontario,Jack pine,Northern Lakes and Forests,Minnesota,Forest: White/Red/Jack Pine Group,3.954859776
Mixedwood Plains,Ontario,Jack pine,North Central Hardwood Forests,Minnesota,Forest: White/Red/Jack Pine Group,5.213908843
Mixedwood Plains,Ontario,Jack pine,Driftless Area,Minnesota,Forest: White/Red/Jack Pine Group,7.98280001
Mixedwood Plains,Ontario,Jack pine,Interior River Valleys and Hills,Missouri,Forest: White/Red/Jack Pine Group,12.56364567
Mixedwood Plains,Quebec,Jack pine,Northeastern Highlands,New Hampshire,Forest: White/Red/Jack Pine Group,7.383485156
Atlantic Maritime,Quebec,Jack pine,Northeastern Coastal Zone,New Hampshire,Forest: White/Red/Jack Pine Group,8.531817746
Mixedwood Plains,Quebec,Jack pine,Northeastern Highlands,New York,Forest: White/Red/Jack Pine Group,6.699240741
Atlantic Maritime,Quebec,Jack pine,Northeastern Coastal Zone,New York,Forest: White/Red/Jack Pine Group,8.563219545
Mixedwood Plains,Quebec,Jack pine,Northern Allegheny Plateau,New York,Forest: White/Red/Jack Pine Group,7.551541532
Mixedwood Plains,Quebec,Jack pine,Erie Drift Plain,New York,Forest: White/Red/Jack Pine Group,8.003549318
Mixedwood Plains,Quebec,Jack pine,North Central Appalachians,New York,Forest: White/Red/Jack Pine Group,7.872700011
Mixedwood Plains,Quebec,Jack pine,Eastern Great Lakes Lowlands,New York,Forest: White/Red/Jack Pine Group,7.607868009
