EcoBoundaryID,StratumID
Pacific Maritime,Coast Range
Montane Cordillera,Columbia Plateau
Montane Cordillera,Blue Mountains
Montane Cordillera,Snake River Plain
Montane Cordillera,Central Basin and Range
Montane Cordillera,Mojave Basin and Range
Montane Cordillera,Northern Rockies
Montane Cordillera,Idaho Batholith
Montane Cordillera,Middle Rockies
Montane Cordillera,Wyoming Basin
Montane Cordillera,Wasatch and Uinta Mountains
Pacific Maritime,Puget Lowland
Montane Cordillera,Colorado Plateaus
Montane Cordillera,Southern Rockies
Montane Cordillera,Arizona/New Mexico Plateau
Montane Cordillera,Arizona/New Mexico Mountains
Montane Cordillera,Chihuahuan Deserts
Mixedwood Plains,High Plains
Mixedwood Plains,Southwestern Tablelands
Mixedwood Plains,Central Great Plains
Mixedwood Plains,Flint Hills
Mixedwood Plains,Cross Timbers
Pacific Maritime,Willamette Valley
Mixedwood Plains,Edwards Plateau
Mixedwood Plains,Southern Texas Plains
Mixedwood Plains,Texas Blackland Prairies
Mixedwood Plains,East Central Texas Plains
Mixedwood Plains,Western Gulf Coastal Plain
Mixedwood Plains,South Central Plains
Mixedwood Plains,Ouachita Mountains
Mixedwood Plains,Arkansas Valley
Montane Cordillera,Boston Mountains
Montane Cordillera,Ozark Highlands
Pacific Maritime,Cascades
Mixedwood Plains,Central Irregular Plains
Montane Cordillera,Canadian Rockies
Mixedwood Plains,Northwestern Glaciated Plains
Mixedwood Plains,Northwestern Great Plains
Mixedwood Plains,Nebraska Sand Hills
Mixedwood Plains,Piedmont
Mixedwood Plains,Northern Glaciated Plains
Mixedwood Plains,Western Corn Belt Plains
Mixedwood Plains,Lake Agassiz Plain
Mixedwood Plains,Northern Minnesota Wetlands
Pacific Maritime,Sierra Nevada
Boreal Shield West,Northern Lakes and Forests
Mixedwood Plains,North Central Hardwood Forests
Mixedwood Plains,Driftless Area
Mixedwood Plains,Southeastern Wisconsin Till Plains
Mixedwood Plains,Central Corn Belt Plains
Mixedwood Plains,Eastern Corn Belt Plains
Mixedwood Plains,Southern Michigan/Northern Indiana Drift Plains
Mixedwood Plains,Huron/Erie Lake Plains
Mixedwood Plains,Northeastern Highlands
Atlantic Maritime,Northeastern Coastal Zone
Pacific Maritime,Central California Foothills and Coastal Mountains
Mixedwood Plains,Northern Allegheny Plateau
Mixedwood Plains,Erie Drift Plain
Mixedwood Plains,North Central Appalachians
Atlantic Maritime,Middle Atlantic Coastal Plain
Mixedwood Plains,Northern Piedmont
Mixedwood Plains,Southeastern Plains
Mixedwood Plains,Blue Ridge
Mixedwood Plains,Ridge and Valley
Mixedwood Plains,Southwestern Appalachians
Mixedwood Plains,Central Appalachians
Pacific Maritime,Central California Valley
Mixedwood Plains,Western Allegheny Plateau
Mixedwood Plains,Interior Plateau
Mixedwood Plains,Interior River Valleys and Hills
Mixedwood Plains,Mississippi Alluvial Plain
Mixedwood Plains,Mississippi Valley Loess Plains
Atlantic Maritime,Southern Coastal Plain
Atlantic Maritime,Southern Florida Coastal Plain
Pacific Maritime,North Cascades
Pacific Maritime,Klamath Mountains/California High North Coast Range
Montane Cordillera,Madrean Archipelago
Pacific Maritime,Southern California Mountains
Montane Cordillera,Northern Basin and Range
Montane Cordillera,Sonoran Basin and Range
Mixedwood Plains,Acadian Plains and Hills
Mixedwood Plains,Eastern Great Lakes Lowlands
Atlantic Maritime,Atlantic Coastal Pine Barrens
Pacific Maritime,Southern California/Northern Baja Coast
Pacific Maritime,Eastern Cascades Slopes and Foothills
