FlowTypeID,FlowGroupID,Value
Biomass Turnover: Coarse Roots -> AG Fast,Biomass Turnover: Total,
Biomass Turnover: Coarse Roots -> BG Fast,Biomass Turnover: Total,
Biomass Turnover: Fine Roots -> AG Very Fast,Biomass Turnover: Total,
Biomass Turnover: Fine Roots -> BG Very Fast,Biomass Turnover: Total,
Biomass Turnover: Foliage -> AG Very Fast,Biomass Turnover: Total,
Biomass Turnover: Merchantable -> Snag Stems,Biomass Turnover: Total,
Biomass Turnover: Other Wood -> AG Fast,Biomass Turnover: Total,
Biomass Turnover: Other Wood -> Snag Branches,Biomass Turnover: Total,
Decay: AG Fast -> AG Slow,Decay: Total,
Decay: AG Medium -> AG Slow,Decay: Total,
Decay: AG Very Fast -> AG Slow,Decay: Total,
Decay: BG Fast -> BG Slow,Decay: Total,
Decay: BG Very Fast -> BG Slow,Decay: Total,
Decay: Snag Branch -> AG Slow,Decay: Total,
Decay: Snag Stem -> AG Slow,Decay: Total,
Emission: AG Fast -> Atmosphere,Emission: Total,
Emission: AG Medium -> Atmosphere,Emission: Total,
Emission: AG Slow -> Atmosphere,Emission: Total,
Emission: AG Very Fast -> Atmosphere,Emission: Total,
Emission: BG Fast -> Atmosphere,Emission: Total,
Emission: BG Slow -> Atmosphere,Emission: Total,
Emission: BG Very Fast -> Atmosphere,Emission: Total,
Emission: Snag Branch -> Atmosphere,Emission: Total,
Emission: Snag Stem -> Atmosphere,Emission: Total,
Net Growth: Atmosphere -> Coarse Roots,Net Growth: Total,
Net Growth: Atmosphere -> Fine Roots,Net Growth: Total,
Net Growth: Atmosphere -> Foliage,Net Growth: Total,
Net Growth: Atmosphere -> Merchantable,Net Growth: Total,
Net Growth: Atmosphere -> Other Wood,Net Growth: Total,
Transfer: AG Slow -> BG Slow,Transfer: Total,
Transfer: Snag Branch -> AG Fast,Transfer: Total,
Transfer: Snag Stem -> AG Medium,Transfer: Total,
