AdminBoundaryID,SecondaryStratumID
Ontario,Alabama
British Columbia,Alaska
British Columbia,American Samoa
Ontario,Arizona
Ontario,Arkansas
British Columbia,California
Alberta,Colorado
Ontario,Commonwealth of the Northern Mariana Islands
Quebec,Connecticut
Quebec,Delaware
Quebec,District of Columbia
Ontario,Florida
Ontario,Georgia
British Columbia,Guam
British Columbia,Hawaii
British Columbia,Idaho
Ontario,Illinois
Ontario,Indiana
Ontario,Iowa
Alberta,Kansas
Ontario,Kentucky
Ontario,Louisiana
Quebec,Maine
Quebec,Maryland
Quebec,Massachusetts
Ontario,Michigan
Ontario,Minnesota
Ontario,Mississippi
Ontario,Missouri
Alberta,Montana
Alberta,Nebraska
British Columbia,Nevada
Quebec,New Hampshire
Quebec,New Jersey
Alberta,New Mexico
Quebec,New York
Ontario,North Carolina
Alberta,North Dakota
Ontario,Ohio
Alberta,Oklahoma
British Columbia,Oregon
Ontario,Pennsylvania
Quebec,Puerto Rico
Quebec,Rhode Island
Ontario,South Carolina
Alberta,South Dakota
Ontario,Tennessee
Alberta,Texas
British Columbia,United States Virgin Islands
British Columbia,Utah
Quebec,Vermont
Ontario,Virginia
British Columbia,Washington
Ontario,West Virginia
Ontario,Wisconsin
Alberta,Wyoming
