StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Acadian Plains and Hills,Ag Contraction,Ag Change,2001,2006,1180
Arizona/New Mexico Mountains,Ag Contraction,Ag Change,2001,2006,20
Arizona/New Mexico Plateau,Ag Contraction,Ag Change,2001,2006,720
Arkansas Valley,Ag Contraction,Ag Change,2001,2006,2180
Atlantic Coastal Pine Barrens,Ag Contraction,Ag Change,2001,2006,180
Blue Mountains,Ag Contraction,Ag Change,2001,2006,320
Blue Ridge,Ag Contraction,Ag Change,2001,2006,1860
Boston Mountains,Ag Contraction,Ag Change,2001,2006,780
Canadian Rockies,Ag Contraction,Ag Change,2001,2006,20
Cascades,Ag Contraction,Ag Change,2001,2006,220
Central Appalachians,Ag Contraction,Ag Change,2001,2006,2100
Central Basin and Range,Ag Contraction,Ag Change,2001,2006,1380
Central California Foothills and Coastal Mountains,Ag Contraction,Ag Change,2001,2006,380
Central California Valley,Ag Contraction,Ag Change,2001,2006,1380
Central Corn Belt Plains,Ag Contraction,Ag Change,2001,2006,980
Central Great Plains,Ag Contraction,Ag Change,2001,2006,21500
Central Irregular Plains,Ag Contraction,Ag Change,2001,2006,6680
Chihuahuan Deserts,Ag Contraction,Ag Change,2001,2006,320
Coast Range,Ag Contraction,Ag Change,2001,2006,460
Colorado Plateaus,Ag Contraction,Ag Change,2001,2006,960
Columbia Plateau,Ag Contraction,Ag Change,2001,2006,13980
Cross Timbers,Ag Contraction,Ag Change,2001,2006,4100
Driftless Area,Ag Contraction,Ag Change,2001,2006,1900
East Central Texas Plains,Ag Contraction,Ag Change,2001,2006,5600
Eastern Cascades Slopes and Foothills,Ag Contraction,Ag Change,2001,2006,1240
Eastern Corn Belt Plains,Ag Contraction,Ag Change,2001,2006,1260
Eastern Great Lakes Lowlands,Ag Contraction,Ag Change,2001,2006,2240
Edwards Plateau,Ag Contraction,Ag Change,2001,2006,60
Erie Drift Plain,Ag Contraction,Ag Change,2001,2006,1000
Flint Hills,Ag Contraction,Ag Change,2001,2006,1380
High Plains,Ag Contraction,Ag Change,2001,2006,19440
