StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Coast Range,Ag Contraction: Pasture,Ag Change,2001,2006,440
Puget Lowland,Ag Contraction: Pasture,Ag Change,2001,2006,520
Willamette Valley,Ag Contraction: Pasture,Ag Change,2001,2006,1080
Cascades,Ag Contraction: Pasture,Ag Change,2001,2006,220
Sierra Nevada,Ag Contraction: Pasture,Ag Change,2001,2006,0
Central California Foothills and Coastal Mountains,Ag Contraction: Pasture,Ag Change,2001,2006,100
Central California Valley,Ag Contraction: Pasture,Ag Change,2001,2006,120
Southern California Mountains,Ag Contraction: Pasture,Ag Change,2001,2006,0
Eastern Cascades Slopes and Foothills,Ag Contraction: Pasture,Ag Change,2001,2006,880
Columbia Plateau,Ag Contraction: Pasture,Ag Change,2001,2006,140
Blue Mountains,Ag Contraction: Pasture,Ag Change,2001,2006,180
Snake River Plain,Ag Contraction: Pasture,Ag Change,2001,2006,80
Central Basin and Range,Ag Contraction: Pasture,Ag Change,2001,2006,560
Mojave Basin and Range,Ag Contraction: Pasture,Ag Change,2001,2006,20
Northern Rockies,Ag Contraction: Pasture,Ag Change,2001,2006,220
Idaho Batholith,Ag Contraction: Pasture,Ag Change,2001,2006,0
Middle Rockies,Ag Contraction: Pasture,Ag Change,2001,2006,480
Wyoming Basin,Ag Contraction: Pasture,Ag Change,2001,2006,300
Wasatch and Uinta Mountains,Ag Contraction: Pasture,Ag Change,2001,2006,120
Colorado Plateaus,Ag Contraction: Pasture,Ag Change,2001,2006,600
Southern Rockies,Ag Contraction: Pasture,Ag Change,2001,2006,280
Arizona/New Mexico Plateau,Ag Contraction: Pasture,Ag Change,2001,2006,640
Arizona/New Mexico Mountains,Ag Contraction: Pasture,Ag Change,2001,2006,20
Chihuahuan Deserts,Ag Contraction: Pasture,Ag Change,2001,2006,20
High Plains,Ag Contraction: Pasture,Ag Change,2001,2006,900
Southwestern Tablelands,Ag Contraction: Pasture,Ag Change,2001,2006,80
Central Great Plains,Ag Contraction: Pasture,Ag Change,2001,2006,300
Flint Hills,Ag Contraction: Pasture,Ag Change,2001,2006,460
Cross Timbers,Ag Contraction: Pasture,Ag Change,2001,2006,760
Edwards Plateau,Ag Contraction: Pasture,Ag Change,2001,2006,40
Southern Texas Plains,Ag Contraction: Pasture,Ag Change,2001,2006,300
Texas Blackland Prairies,Ag Contraction: Pasture,Ag Change,2001,2006,1840
East Central Texas Plains,Ag Contraction: Pasture,Ag Change,2001,2006,5560
Western Gulf Coastal Plain,Ag Contraction: Pasture,Ag Change,2001,2006,5920
South Central Plains,Ag Contraction: Pasture,Ag Change,2001,2006,28340
Ouachita Mountains,Ag Contraction: Pasture,Ag Change,2001,2006,2320
Arkansas Valley,Ag Contraction: Pasture,Ag Change,2001,2006,2180
Boston Mountains,Ag Contraction: Pasture,Ag Change,2001,2006,780
Ozark Highlands,Ag Contraction: Pasture,Ag Change,2001,2006,5080
Central Irregular Plains,Ag Contraction: Pasture,Ag Change,2001,2006,6280
Canadian Rockies,Ag Contraction: Pasture,Ag Change,2001,2006,20
Northwestern Glaciated Plains,Ag Contraction: Pasture,Ag Change,2001,2006,1320
Northwestern Great Plains,Ag Contraction: Pasture,Ag Change,2001,2006,1540
Nebraska Sand Hills,Ag Contraction: Pasture,Ag Change,2001,2006,260
Piedmont,Ag Contraction: Pasture,Ag Change,2001,2006,19940
Northern Glaciated Plains,Ag Contraction: Pasture,Ag Change,2001,2006,3500
Western Corn Belt Plains,Ag Contraction: Pasture,Ag Change,2001,2006,2480
Lake Agassiz Plain,Ag Contraction: Pasture,Ag Change,2001,2006,1420
Northern Minnesota Wetlands,Ag Contraction: Pasture,Ag Change,2001,2006,1160
Northern Lakes and Forests,Ag Contraction: Pasture,Ag Change,2001,2006,3180
North Central Hardwood Forests,Ag Contraction: Pasture,Ag Change,2001,2006,2280
Driftless Area,Ag Contraction: Pasture,Ag Change,2001,2006,1720
Southeastern Wisconsin Till Plains,Ag Contraction: Pasture,Ag Change,2001,2006,360
Central Corn Belt Plains,Ag Contraction: Pasture,Ag Change,2001,2006,300
Eastern Corn Belt Plains,Ag Contraction: Pasture,Ag Change,2001,2006,700
Southern Michigan/Northern Indiana Drift Plains,Ag Contraction: Pasture,Ag Change,2001,2006,340
Huron/Erie Lake Plains,Ag Contraction: Pasture,Ag Change,2001,2006,20
Northeastern Highlands,Ag Contraction: Pasture,Ag Change,2001,2006,1820
Northeastern Coastal Zone,Ag Contraction: Pasture,Ag Change,2001,2006,1140
Northern Allegheny Plateau,Ag Contraction: Pasture,Ag Change,2001,2006,1760
Erie Drift Plain,Ag Contraction: Pasture,Ag Change,2001,2006,940
North Central Appalachians,Ag Contraction: Pasture,Ag Change,2001,2006,620
Middle Atlantic Coastal Plain,Ag Contraction: Pasture,Ag Change,2001,2006,520
Northern Piedmont,Ag Contraction: Pasture,Ag Change,2001,2006,880
Southeastern Plains,Ag Contraction: Pasture,Ag Change,2001,2006,55560
Blue Ridge,Ag Contraction: Pasture,Ag Change,2001,2006,1860
Ridge and Valley,Ag Contraction: Pasture,Ag Change,2001,2006,6420
