StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Acadian Plains and Hills,Ag Expansion,Ag Change,2001,2006,80
Arizona/New Mexico Mountains,Ag Expansion,Ag Change,2001,2006,40
Arizona/New Mexico Plateau,Ag Expansion,Ag Change,2001,2006,1340
Arkansas Valley,Ag Expansion,Ag Change,2001,2006,340
Atlantic Coastal Pine Barrens,Ag Expansion,Ag Change,2001,2006,180
Blue Mountains,Ag Expansion,Ag Change,2001,2006,840
Blue Ridge,Ag Expansion,Ag Change,2001,2006,260
Boston Mountains,Ag Expansion,Ag Change,2001,2006,220
Canadian Rockies,Ag Expansion,Ag Change,2001,2006,20
Cascades,Ag Expansion,Ag Change,2001,2006,80
Central Appalachians,Ag Expansion,Ag Change,2001,2006,320
Central Basin and Range,Ag Expansion,Ag Change,2001,2006,3560
Central California Foothills and Coastal Mountains,Ag Expansion,Ag Change,2001,2006,2020
Central California Valley,Ag Expansion,Ag Change,2001,2006,4600
Central Corn Belt Plains,Ag Expansion,Ag Change,2001,2006,340
Central Great Plains,Ag Expansion,Ag Change,2001,2006,30120
Central Irregular Plains,Ag Expansion,Ag Change,2001,2006,3480
Chihuahuan Deserts,Ag Expansion,Ag Change,2001,2006,1780
Coast Range,Ag Expansion,Ag Change,2001,2006,60
Colorado Plateaus,Ag Expansion,Ag Change,2001,2006,1300
Columbia Plateau,Ag Expansion,Ag Change,2001,2006,6100
Cross Timbers,Ag Expansion,Ag Change,2001,2006,5060
Driftless Area,Ag Expansion,Ag Change,2001,2006,840
East Central Texas Plains,Ag Expansion,Ag Change,2001,2006,1880
Eastern Cascades Slopes and Foothills,Ag Expansion,Ag Change,2001,2006,900
Eastern Corn Belt Plains,Ag Expansion,Ag Change,2001,2006,640
Eastern Great Lakes Lowlands,Ag Expansion,Ag Change,2001,2006,1560
Edwards Plateau,Ag Expansion,Ag Change,2001,2006,1060
Erie Drift Plain,Ag Expansion,Ag Change,2001,2006,320
Flint Hills,Ag Expansion,Ag Change,2001,2006,2240
High Plains,Ag Expansion,Ag Change,2001,2006,27760
Huron/Erie Lake Plains,Ag Expansion,Ag Change,2001,2006,580
Idaho Batholith,Ag Expansion,Ag Change,2001,2006,40
Interior Plateau,Ag Expansion,Ag Change,2001,2006,2280
Interior River Valleys and Hills,Ag Expansion,Ag Change,2001,2006,920
Klamath Mountains/California High North Coast Range,Ag Expansion,Ag Change,2001,2006,100
Lake Agassiz Plain,Ag Expansion,Ag Change,2001,2006,3780
Madrean Archipelago,Ag Expansion,Ag Change,2001,2006,720
Middle Atlantic Coastal Plain,Ag Expansion,Ag Change,2001,2006,800
Middle Rockies,Ag Expansion,Ag Change,2001,2006,2700
Mississippi Alluvial Plain,Ag Expansion,Ag Change,2001,2006,3920
Mississippi Valley Loess Plains,Ag Expansion,Ag Change,2001,2006,980
Mojave Basin and Range,Ag Expansion,Ag Change,2001,2006,180
Nebraska Sand Hills,Ag Expansion,Ag Change,2001,2006,3500
North Cascades,Ag Expansion,Ag Change,2001,2006,20
North Central Appalachians,Ag Expansion,Ag Change,2001,2006,80
North Central Hardwood Forests,Ag Expansion,Ag Change,2001,2006,3500
Northeastern Coastal Zone,Ag Expansion,Ag Change,2001,2006,720
Northeastern Highlands,Ag Expansion,Ag Change,2001,2006,680
Northern Allegheny Plateau,Ag Expansion,Ag Change,2001,2006,720
Northern Basin and Range,Ag Expansion,Ag Change,2001,2006,1780
Northern Glaciated Plains,Ag Expansion,Ag Change,2001,2006,12900
Northern Lakes and Forests,Ag Expansion,Ag Change,2001,2006,4080
Northern Minnesota Wetlands,Ag Expansion,Ag Change,2001,2006,1220
Northern Piedmont,Ag Expansion,Ag Change,2001,2006,620
Northern Rockies,Ag Expansion,Ag Change,2001,2006,1220
Northwestern Glaciated Plains,Ag Expansion,Ag Change,2001,2006,32580
