StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Coast Range,Fire,Fire,2002,2002,0
Puget Lowland,Fire,Fire,2002,2002,0
Willamette Valley,Fire,Fire,2002,2002,0
Cascades,Fire,Fire,2002,2002,4000
Sierra Nevada,Fire,Fire,2002,2002,55200
Central California Foothills and Coastal Mountains,Fire,Fire,2002,2002,26000
Central California Valley,Fire,Fire,2002,2002,0
Southern California Mountains,Fire,Fire,2002,2002,157100
Eastern Cascades Slopes and Foothills,Fire,Fire,2002,2002,11100
Columbia Plateau,Fire,Fire,2002,2002,82500
Blue Mountains,Fire,Fire,2002,2002,198400
Snake River Plain,Fire,Fire,2002,2002,66800
Central Basin and Range,Fire,Fire,2002,2002,381700
Mojave Basin and Range,Fire,Fire,2002,2002,3600
Northern Rockies,Fire,Fire,2002,2002,69500
Idaho Batholith,Fire,Fire,2002,2002,493100
Middle Rockies,Fire,Fire,2002,2002,116500
Wyoming Basin,Fire,Fire,2002,2002,7400
Wasatch and Uinta Mountains,Fire,Fire,2002,2002,17900
Colorado Plateaus,Fire,Fire,2002,2002,20300
Southern Rockies,Fire,Fire,2002,2002,100
Arizona/New Mexico Plateau,Fire,Fire,2002,2002,14500
Arizona/New Mexico Mountains,Fire,Fire,2002,2002,33000
Chihuahuan Deserts,Fire,Fire,2002,2002,0
High Plains,Fire,Fire,2002,2002,2000
Southwestern Tablelands,Fire,Fire,2002,2002,700
Central Great Plains,Fire,Fire,2002,2002,0
Flint Hills,Fire,Fire,2002,2002,0
Cross Timbers,Fire,Fire,2002,2002,0
Edwards Plateau,Fire,Fire,2002,2002,0
Southern Texas Plains,Fire,Fire,2002,2002,0
Texas Blackland Prairies,Fire,Fire,2002,2002,0
East Central Texas Plains,Fire,Fire,2002,2002,0
Western Gulf Coastal Plain,Fire,Fire,2002,2002,0
South Central Plains,Fire,Fire,2002,2002,0
Ouachita Mountains,Fire,Fire,2002,2002,0
Arkansas Valley,Fire,Fire,2002,2002,0
Boston Mountains,Fire,Fire,2002,2002,300
Ozark Highlands,Fire,Fire,2002,2002,1000
Central Irregular Plains,Fire,Fire,2002,2002,0
Canadian Rockies,Fire,Fire,2002,2002,80000
Northwestern Glaciated Plains,Fire,Fire,2002,2002,3200
Northwestern Great Plains,Fire,Fire,2002,2002,40900
Nebraska Sand Hills,Fire,Fire,2002,2002,0
Piedmont,Fire,Fire,2002,2002,0
Northern Glaciated Plains,Fire,Fire,2002,2002,0
Western Corn Belt Plains,Fire,Fire,2002,2002,0
Lake Agassiz Plain,Fire,Fire,2002,2002,0
Northern Minnesota Wetlands,Fire,Fire,2002,2002,0
Northern Lakes and Forests,Fire,Fire,2002,2002,16400
North Central Hardwood Forests,Fire,Fire,2002,2002,0
Driftless Area,Fire,Fire,2002,2002,0
