Timestep,StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
2002,Acadian Plains and Hills,Forest Harvest,Forest Harvest,2002,2002,12000
2002,Arizona/New Mexico Mountains,Forest Harvest,Forest Harvest,2002,2002,5400
2002,Arizona/New Mexico Plateau,Forest Harvest,Forest Harvest,2002,2002,800
2002,Arkansas Valley,Forest Harvest,Forest Harvest,2002,2002,1800
2002,Atlantic Coastal Pine Barrens,Forest Harvest,Forest Harvest,2002,2002,600
2002,Blue Mountains,Forest Harvest,Forest Harvest,2002,2002,20200
2002,Blue Ridge,Forest Harvest,Forest Harvest,2002,2002,4000
2002,Boston Mountains,Forest Harvest,Forest Harvest,2002,2002,1100
2002,Canadian Rockies,Forest Harvest,Forest Harvest,2002,2002,3200
2002,Cascades,Forest Harvest,Forest Harvest,2002,2002,39900
2002,Central Appalachians,Forest Harvest,Forest Harvest,2002,2002,7000
2002,Central Basin and Range,Forest Harvest,Forest Harvest,2002,2002,100
2002,Central California Foothills and Coastal Mountains,Forest Harvest,Forest Harvest,2002,2002,800
2002,Central California Valley,Forest Harvest,Forest Harvest,2002,2002,0
2002,Central Corn Belt Plains,Forest Harvest,Forest Harvest,2002,2002,0
2002,Central Great Plains,Forest Harvest,Forest Harvest,2002,2002,0
2002,Central Irregular Plains,Forest Harvest,Forest Harvest,2002,2002,100
2002,Chihuahuan Deserts,Forest Harvest,Forest Harvest,2002,2002,0
2002,Coast Range,Forest Harvest,Forest Harvest,2002,2002,61300
2002,Colorado Plateaus,Forest Harvest,Forest Harvest,2002,2002,6100
2002,Columbia Plateau,Forest Harvest,Forest Harvest,2002,2002,300
2002,Cross Timbers,Forest Harvest,Forest Harvest,2002,2002,100
2002,Driftless Area,Forest Harvest,Forest Harvest,2002,2002,200
2002,East Central Texas Plains,Forest Harvest,Forest Harvest,2002,2002,500
2002,Eastern Cascades Slopes and Foothills,Forest Harvest,Forest Harvest,2002,2002,23600
2002,Eastern Corn Belt Plains,Forest Harvest,Forest Harvest,2002,2002,100
2002,Eastern Great Lakes Lowlands,Forest Harvest,Forest Harvest,2002,2002,200
2002,Edwards Plateau,Forest Harvest,Forest Harvest,2002,2002,1600
2002,Erie Drift Plain,Forest Harvest,Forest Harvest,2002,2002,500
2002,Flint Hills,Forest Harvest,Forest Harvest,2002,2002,0
2002,High Plains,Forest Harvest,Forest Harvest,2002,2002,0
2002,Huron/Erie Lake Plains,Forest Harvest,Forest Harvest,2002,2002,100
2002,Idaho Batholith,Forest Harvest,Forest Harvest,2002,2002,7800
2002,Interior Plateau,Forest Harvest,Forest Harvest,2002,2002,6900
2002,Interior River Valleys and Hills,Forest Harvest,Forest Harvest,2002,2002,1400
2002,Klamath Mountains/California High North Coast Range,Forest Harvest,Forest Harvest,2002,2002,27300
2002,Lake Agassiz Plain,Forest Harvest,Forest Harvest,2002,2002,0
2002,Madrean Archipelago,Forest Harvest,Forest Harvest,2002,2002,400
2002,Middle Atlantic Coastal Plain,Forest Harvest,Forest Harvest,2002,2002,27200
2002,Middle Rockies,Forest Harvest,Forest Harvest,2002,2002,21200
2002,Mississippi Alluvial Plain,Forest Harvest,Forest Harvest,2002,2002,3000
2002,Mississippi Valley Loess Plains,Forest Harvest,Forest Harvest,2002,2002,20000
2002,Mojave Basin and Range,Forest Harvest,Forest Harvest,2002,2002,100
2002,Nebraska Sand Hills,Forest Harvest,Forest Harvest,2002,2002,0
2002,North Cascades,Forest Harvest,Forest Harvest,2002,2002,5800
2002,North Central Appalachians,Forest Harvest,Forest Harvest,2002,2002,5800
2002,North Central Hardwood Forests,Forest Harvest,Forest Harvest,2002,2002,4100
2002,Northeastern Coastal Zone,Forest Harvest,Forest Harvest,2002,2002,1900
2002,Northeastern Highlands,Forest Harvest,Forest Harvest,2002,2002,13300
2002,Northern Allegheny Plateau,Forest Harvest,Forest Harvest,2002,2002,200
2002,Northern Basin and Range,Forest Harvest,Forest Harvest,2002,2002,100
2002,Northern Glaciated Plains,Forest Harvest,Forest Harvest,2002,2002,0
2002,Northern Lakes and Forests,Forest Harvest,Forest Harvest,2002,2002,41200
2002,Northern Minnesota Wetlands,Forest Harvest,Forest Harvest,2002,2002,1800
2002,Northern Piedmont,Forest Harvest,Forest Harvest,2002,2002,900
2002,Northern Rockies,Forest Harvest,Forest Harvest,2002,2002,53200
2002,Northwestern Glaciated Plains,Forest Harvest,Forest Harvest,2002,2002,0
2002,Northwestern Great Plains,Forest Harvest,Forest Harvest,2002,2002,1600
2002,Ouachita Mountains,Forest Harvest,Forest Harvest,2002,2002,26300
2002,Ozark Highlands,Forest Harvest,Forest Harvest,2002,2002,9600
2002,Piedmont,Forest Harvest,Forest Harvest,2002,2002,70100
2002,Puget Lowland,Forest Harvest,Forest Harvest,2002,2002,5800
2002,Ridge and Valley,Forest Harvest,Forest Harvest,2002,2002,14300
2002,Sierra Nevada,Forest Harvest,Forest Harvest,2002,2002,22400
2002,Snake River Plain,Forest Harvest,Forest Harvest,2002,2002,0
2002,Sonoran Basin and Range,Forest Harvest,Forest Harvest,2002,2002,0
2002,South Central Plains,Forest Harvest,Forest Harvest,2002,2002,131200
2002,Southeastern Plains,Forest Harvest,Forest Harvest,2002,2002,195000
2002,Southeastern Wisconsin Till Plains,Forest Harvest,Forest Harvest,2002,2002,0
2002,Southern California Mountains,Forest Harvest,Forest Harvest,2002,2002,0
2002,Southern California/Northern Baja Coast,Forest Harvest,Forest Harvest,2002,2002,0
2002,Southern Coastal Plain,Forest Harvest,Forest Harvest,2002,2002,67600
2002,Southern Florida Coastal Plain,Forest Harvest,Forest Harvest,2002,2002,100
2002,Southern Michigan/Northern Indiana Drift Plains,Forest Harvest,Forest Harvest,2002,2002,400
2002,Southern Rockies,Forest Harvest,Forest Harvest,2002,2002,7300
2002,Southern Texas Plains,Forest Harvest,Forest Harvest,2002,2002,0
2002,Southwestern Appalachians,Forest Harvest,Forest Harvest,2002,2002,18700
2002,Southwestern Tablelands,Forest Harvest,Forest Harvest,2002,2002,0
2002,Texas Blackland Prairies,Forest Harvest,Forest Harvest,2002,2002,0
2002,Wasatch and Uinta Mountains,Forest Harvest,Forest Harvest,2002,2002,3600
2002,Western Allegheny Plateau,Forest Harvest,Forest Harvest,2002,2002,3100
2002,Western Corn Belt Plains,Forest Harvest,Forest Harvest,2002,2002,200
2002,Western Gulf Coastal Plain,Forest Harvest,Forest Harvest,2002,2002,1800
2002,Willamette Valley,Forest Harvest,Forest Harvest,2002,2002,5100
2002,Wyoming Basin,Forest Harvest,Forest Harvest,2002,2002,0
2003,Acadian Plains and Hills,Forest Harvest,Forest Harvest,2003,2003,8100
2003,Arizona/New Mexico Mountains,Forest Harvest,Forest Harvest,2003,2003,6900
2003,Arizona/New Mexico Plateau,Forest Harvest,Forest Harvest,2003,2003,300
2003,Arkansas Valley,Forest Harvest,Forest Harvest,2003,2003,2800
2003,Atlantic Coastal Pine Barrens,Forest Harvest,Forest Harvest,2003,2003,1000
2003,Blue Mountains,Forest Harvest,Forest Harvest,2003,2003,21200
2003,Blue Ridge,Forest Harvest,Forest Harvest,2003,2003,4600
2003,Boston Mountains,Forest Harvest,Forest Harvest,2003,2003,2500
2003,Canadian Rockies,Forest Harvest,Forest Harvest,2003,2003,2500
2003,Cascades,Forest Harvest,Forest Harvest,2003,2003,48800
2003,Central Appalachians,Forest Harvest,Forest Harvest,2003,2003,9200
2003,Central Basin and Range,Forest Harvest,Forest Harvest,2003,2003,200
2003,Central California Foothills and Coastal Mountains,Forest Harvest,Forest Harvest,2003,2003,500
2003,Central California Valley,Forest Harvest,Forest Harvest,2003,2003,0
2003,Central Corn Belt Plains,Forest Harvest,Forest Harvest,2003,2003,0
2003,Central Great Plains,Forest Harvest,Forest Harvest,2003,2003,0
2003,Central Irregular Plains,Forest Harvest,Forest Harvest,2003,2003,0
2003,Chihuahuan Deserts,Forest Harvest,Forest Harvest,2003,2003,0
2003,Coast Range,Forest Harvest,Forest Harvest,2003,2003,60700
2003,Colorado Plateaus,Forest Harvest,Forest Harvest,2003,2003,9200
2003,Columbia Plateau,Forest Harvest,Forest Harvest,2003,2003,100
2003,Cross Timbers,Forest Harvest,Forest Harvest,2003,2003,300
2003,Driftless Area,Forest Harvest,Forest Harvest,2003,2003,400
2003,East Central Texas Plains,Forest Harvest,Forest Harvest,2003,2003,1400
2003,Eastern Cascades Slopes and Foothills,Forest Harvest,Forest Harvest,2003,2003,24700
2003,Eastern Corn Belt Plains,Forest Harvest,Forest Harvest,2003,2003,300
2003,Eastern Great Lakes Lowlands,Forest Harvest,Forest Harvest,2003,2003,500
2003,Edwards Plateau,Forest Harvest,Forest Harvest,2003,2003,1100
2003,Erie Drift Plain,Forest Harvest,Forest Harvest,2003,2003,400
2003,Flint Hills,Forest Harvest,Forest Harvest,2003,2003,0
2003,High Plains,Forest Harvest,Forest Harvest,2003,2003,0
2003,Huron/Erie Lake Plains,Forest Harvest,Forest Harvest,2003,2003,100
2003,Idaho Batholith,Forest Harvest,Forest Harvest,2003,2003,7600
2003,Interior Plateau,Forest Harvest,Forest Harvest,2003,2003,9400
2003,Interior River Valleys and Hills,Forest Harvest,Forest Harvest,2003,2003,700
2003,Klamath Mountains/California High North Coast Range,Forest Harvest,Forest Harvest,2003,2003,20200
2003,Lake Agassiz Plain,Forest Harvest,Forest Harvest,2003,2003,0
2003,Madrean Archipelago,Forest Harvest,Forest Harvest,2003,2003,0
2003,Middle Atlantic Coastal Plain,Forest Harvest,Forest Harvest,2003,2003,45000
2003,Middle Rockies,Forest Harvest,Forest Harvest,2003,2003,17700
2003,Mississippi Alluvial Plain,Forest Harvest,Forest Harvest,2003,2003,2500
2003,Mississippi Valley Loess Plains,Forest Harvest,Forest Harvest,2003,2003,15300
2003,Mojave Basin and Range,Forest Harvest,Forest Harvest,2003,2003,0
2003,Nebraska Sand Hills,Forest Harvest,Forest Harvest,2003,2003,0
2003,North Cascades,Forest Harvest,Forest Harvest,2003,2003,5500
2003,North Central Appalachians,Forest Harvest,Forest Harvest,2003,2003,6900
2003,North Central Hardwood Forests,Forest Harvest,Forest Harvest,2003,2003,4400
2003,Northeastern Coastal Zone,Forest Harvest,Forest Harvest,2003,2003,1600
2003,Northeastern Highlands,Forest Harvest,Forest Harvest,2003,2003,17400
2003,Northern Allegheny Plateau,Forest Harvest,Forest Harvest,2003,2003,600
2003,Northern Basin and Range,Forest Harvest,Forest Harvest,2003,2003,100
2003,Northern Glaciated Plains,Forest Harvest,Forest Harvest,2003,2003,0
2003,Northern Lakes and Forests,Forest Harvest,Forest Harvest,2003,2003,42000
2003,Northern Minnesota Wetlands,Forest Harvest,Forest Harvest,2003,2003,3600
2003,Northern Piedmont,Forest Harvest,Forest Harvest,2003,2003,1100
2003,Northern Rockies,Forest Harvest,Forest Harvest,2003,2003,45400
2003,Northwestern Glaciated Plains,Forest Harvest,Forest Harvest,2003,2003,0
2003,Northwestern Great Plains,Forest Harvest,Forest Harvest,2003,2003,2900
2003,Ouachita Mountains,Forest Harvest,Forest Harvest,2003,2003,21000
2003,Ozark Highlands,Forest Harvest,Forest Harvest,2003,2003,15500
2003,Piedmont,Forest Harvest,Forest Harvest,2003,2003,85500
2003,Puget Lowland,Forest Harvest,Forest Harvest,2003,2003,6300
2003,Ridge and Valley,Forest Harvest,Forest Harvest,2003,2003,10700
2003,Sierra Nevada,Forest Harvest,Forest Harvest,2003,2003,46900
2003,Snake River Plain,Forest Harvest,Forest Harvest,2003,2003,200
2003,Sonoran Basin and Range,Forest Harvest,Forest Harvest,2003,2003,0
2003,South Central Plains,Forest Harvest,Forest Harvest,2003,2003,173200
2003,Southeastern Plains,Forest Harvest,Forest Harvest,2003,2003,212700
2003,Southeastern Wisconsin Till Plains,Forest Harvest,Forest Harvest,2003,2003,0
2003,Southern California Mountains,Forest Harvest,Forest Harvest,2003,2003,500
2003,Southern California/Northern Baja Coast,Forest Harvest,Forest Harvest,2003,2003,200
2003,Southern Coastal Plain,Forest Harvest,Forest Harvest,2003,2003,65000
2003,Southern Florida Coastal Plain,Forest Harvest,Forest Harvest,2003,2003,0
2003,Southern Michigan/Northern Indiana Drift Plains,Forest Harvest,Forest Harvest,2003,2003,400
2003,Southern Rockies,Forest Harvest,Forest Harvest,2003,2003,11100
2003,Southern Texas Plains,Forest Harvest,Forest Harvest,2003,2003,0
2003,Southwestern Appalachians,Forest Harvest,Forest Harvest,2003,2003,16300
2003,Southwestern Tablelands,Forest Harvest,Forest Harvest,2003,2003,0
2003,Texas Blackland Prairies,Forest Harvest,Forest Harvest,2003,2003,100
2003,Wasatch and Uinta Mountains,Forest Harvest,Forest Harvest,2003,2003,2600
2003,Western Allegheny Plateau,Forest Harvest,Forest Harvest,2003,2003,4000
2003,Western Corn Belt Plains,Forest Harvest,Forest Harvest,2003,2003,500
2003,Western Gulf Coastal Plain,Forest Harvest,Forest Harvest,2003,2003,1600
2003,Willamette Valley,Forest Harvest,Forest Harvest,2003,2003,6200
2003,Wyoming Basin,Forest Harvest,Forest Harvest,2003,2003,300
2004,Acadian Plains and Hills,Forest Harvest,Forest Harvest,2004,2004,13100
2004,Arizona/New Mexico Mountains,Forest Harvest,Forest Harvest,2004,2004,10300
2004,Arizona/New Mexico Plateau,Forest Harvest,Forest Harvest,2004,2004,200
2004,Arkansas Valley,Forest Harvest,Forest Harvest,2004,2004,2500
2004,Atlantic Coastal Pine Barrens,Forest Harvest,Forest Harvest,2004,2004,300
2004,Blue Mountains,Forest Harvest,Forest Harvest,2004,2004,22300
2004,Blue Ridge,Forest Harvest,Forest Harvest,2004,2004,1200
2004,Boston Mountains,Forest Harvest,Forest Harvest,2004,2004,2400
2004,Canadian Rockies,Forest Harvest,Forest Harvest,2004,2004,6100
2004,Cascades,Forest Harvest,Forest Harvest,2004,2004,60700
2004,Central Appalachians,Forest Harvest,Forest Harvest,2004,2004,15200
2004,Central Basin and Range,Forest Harvest,Forest Harvest,2004,2004,500
2004,Central California Foothills and Coastal Mountains,Forest Harvest,Forest Harvest,2004,2004,900
2004,Central California Valley,Forest Harvest,Forest Harvest,2004,2004,0
2004,Central Corn Belt Plains,Forest Harvest,Forest Harvest,2004,2004,100
2004,Central Great Plains,Forest Harvest,Forest Harvest,2004,2004,0
2004,Central Irregular Plains,Forest Harvest,Forest Harvest,2004,2004,100
2004,Chihuahuan Deserts,Forest Harvest,Forest Harvest,2004,2004,0
2004,Coast Range,Forest Harvest,Forest Harvest,2004,2004,65700
2004,Colorado Plateaus,Forest Harvest,Forest Harvest,2004,2004,3800
2004,Columbia Plateau,Forest Harvest,Forest Harvest,2004,2004,600
2004,Cross Timbers,Forest Harvest,Forest Harvest,2004,2004,300
2004,Driftless Area,Forest Harvest,Forest Harvest,2004,2004,200
2004,East Central Texas Plains,Forest Harvest,Forest Harvest,2004,2004,1500
2004,Eastern Cascades Slopes and Foothills,Forest Harvest,Forest Harvest,2004,2004,25000
2004,Eastern Corn Belt Plains,Forest Harvest,Forest Harvest,2004,2004,100
2004,Eastern Great Lakes Lowlands,Forest Harvest,Forest Harvest,2004,2004,500
2004,Edwards Plateau,Forest Harvest,Forest Harvest,2004,2004,1600
2004,Erie Drift Plain,Forest Harvest,Forest Harvest,2004,2004,800
2004,Flint Hills,Forest Harvest,Forest Harvest,2004,2004,0
2004,High Plains,Forest Harvest,Forest Harvest,2004,2004,0
2004,Huron/Erie Lake Plains,Forest Harvest,Forest Harvest,2004,2004,300
2004,Idaho Batholith,Forest Harvest,Forest Harvest,2004,2004,7000
2004,Interior Plateau,Forest Harvest,Forest Harvest,2004,2004,11800
2004,Interior River Valleys and Hills,Forest Harvest,Forest Harvest,2004,2004,700
2004,Klamath Mountains/California High North Coast Range,Forest Harvest,Forest Harvest,2004,2004,23300
2004,Lake Agassiz Plain,Forest Harvest,Forest Harvest,2004,2004,100
2004,Madrean Archipelago,Forest Harvest,Forest Harvest,2004,2004,100
2004,Middle Atlantic Coastal Plain,Forest Harvest,Forest Harvest,2004,2004,43800
2004,Middle Rockies,Forest Harvest,Forest Harvest,2004,2004,22300
2004,Mississippi Alluvial Plain,Forest Harvest,Forest Harvest,2004,2004,1500
2004,Mississippi Valley Loess Plains,Forest Harvest,Forest Harvest,2004,2004,15000
2004,Mojave Basin and Range,Forest Harvest,Forest Harvest,2004,2004,100
2004,Nebraska Sand Hills,Forest Harvest,Forest Harvest,2004,2004,0
2004,North Cascades,Forest Harvest,Forest Harvest,2004,2004,10600
2004,North Central Appalachians,Forest Harvest,Forest Harvest,2004,2004,5600
2004,North Central Hardwood Forests,Forest Harvest,Forest Harvest,2004,2004,4600
2004,Northeastern Coastal Zone,Forest Harvest,Forest Harvest,2004,2004,1700
2004,Northeastern Highlands,Forest Harvest,Forest Harvest,2004,2004,21600
2004,Northern Allegheny Plateau,Forest Harvest,Forest Harvest,2004,2004,300
2004,Northern Basin and Range,Forest Harvest,Forest Harvest,2004,2004,100
2004,Northern Glaciated Plains,Forest Harvest,Forest Harvest,2004,2004,0
2004,Northern Lakes and Forests,Forest Harvest,Forest Harvest,2004,2004,59600
2004,Northern Minnesota Wetlands,Forest Harvest,Forest Harvest,2004,2004,4200
2004,Northern Piedmont,Forest Harvest,Forest Harvest,2004,2004,1100
2004,Northern Rockies,Forest Harvest,Forest Harvest,2004,2004,59300
2004,Northwestern Glaciated Plains,Forest Harvest,Forest Harvest,2004,2004,200
2004,Northwestern Great Plains,Forest Harvest,Forest Harvest,2004,2004,2700
2004,Ouachita Mountains,Forest Harvest,Forest Harvest,2004,2004,15600
2004,Ozark Highlands,Forest Harvest,Forest Harvest,2004,2004,18000
2004,Piedmont,Forest Harvest,Forest Harvest,2004,2004,77200
2004,Puget Lowland,Forest Harvest,Forest Harvest,2004,2004,5500
2004,Ridge and Valley,Forest Harvest,Forest Harvest,2004,2004,13300
2004,Sierra Nevada,Forest Harvest,Forest Harvest,2004,2004,40100
2004,Snake River Plain,Forest Harvest,Forest Harvest,2004,2004,300
2004,Sonoran Basin and Range,Forest Harvest,Forest Harvest,2004,2004,0
2004,South Central Plains,Forest Harvest,Forest Harvest,2004,2004,109700
