StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Coast Range,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,49300
Puget Lowland,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,6400
Willamette Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,5200
Cascades,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,28700
Sierra Nevada,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,11900
Central California Foothills and Coastal Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,700
Central California Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,400
Southern California Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,100
Eastern Cascades Slopes and Foothills,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,15400
Columbia Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,900
Blue Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,11800
Snake River Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,3300
Central Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,2600
Mojave Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,100
Northern Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,43600
Idaho Batholith,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,8900
Middle Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,21200
Wyoming Basin,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,1200
Wasatch and Uinta Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,2400
Colorado Plateaus,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,7300
Southern Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,5500
Arizona/New Mexico Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,2500
Arizona/New Mexico Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,5600
Chihuahuan Deserts,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,0
High Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,100
Southwestern Tablelands,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,100
Central Great Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,0
Flint Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,0
Cross Timbers,Forest Harvest: Forest Clearcut,Forest Harvest,2002,2002,200
