StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Acadian Plains and Hills,Insect,Insect,2002,2002,261500
Arizona/New Mexico Mountains,Insect,Insect,2002,2002,193900
Arizona/New Mexico Plateau,Insect,Insect,2002,2002,12800
Arkansas Valley,Insect,Insect,2002,2002,800
Atlantic Coastal Pine Barrens,Insect,Insect,2002,2002,0
Blue Mountains,Insect,Insect,2002,2002,69600
Blue Ridge,Insect,Insect,2002,2002,22000
Boston Mountains,Insect,Insect,2002,2002,1000
Canadian Rockies,Insect,Insect,2002,2002,13500
Cascades,Insect,Insect,2002,2002,95000
Central Appalachians,Insect,Insect,2002,2002,0
Central Basin and Range,Insect,Insect,2002,2002,28800
Central California Foothills and Coastal Mountains,Insect,Insect,2002,2002,6300
Central California Valley,Insect,Insect,2002,2002,0
Central Corn Belt Plains,Insect,Insect,2002,2002,0
Central Great Plains,Insect,Insect,2002,2002,0
Central Irregular Plains,Insect,Insect,2002,2002,0
Chihuahuan Deserts,Insect,Insect,2002,2002,0
Coast Range,Insect,Insect,2002,2002,30400
Colorado Plateaus,Insect,Insect,2002,2002,3400
Columbia Plateau,Insect,Insect,2002,2002,2900
Cross Timbers,Insect,Insect,2002,2002,0
Driftless Area,Insect,Insect,2002,2002,0
East Central Texas Plains,Insect,Insect,2002,2002,0
Eastern Cascades Slopes and Foothills,Insect,Insect,2002,2002,123900
Eastern Corn Belt Plains,Insect,Insect,2002,2002,0
Eastern Great Lakes Lowlands,Insect,Insect,2002,2002,2100
Edwards Plateau,Insect,Insect,2002,2002,0
Erie Drift Plain,Insect,Insect,2002,2002,300
Flint Hills,Insect,Insect,2002,2002,0
High Plains,Insect,Insect,2002,2002,100
Huron/Erie Lake Plains,Insect,Insect,2002,2002,0
Idaho Batholith,Insect,Insect,2002,2002,139700
Interior Plateau,Insect,Insect,2002,2002,0
Interior River Valleys and Hills,Insect,Insect,2002,2002,0
Klamath Mountains/California High North Coast Range,Insect,Insect,2002,2002,69500
Lake Agassiz Plain,Insect,Insect,2002,2002,0
Madrean Archipelago,Insect,Insect,2002,2002,5000
Middle Atlantic Coastal Plain,Insect,Insect,2002,2002,0
Middle Rockies,Insect,Insect,2002,2002,216300
Mississippi Alluvial Plain,Insect,Insect,2002,2002,100
Mississippi Valley Loess Plains,Insect,Insect,2002,2002,0
Mojave Basin and Range,Insect,Insect,2002,2002,100
Nebraska Sand Hills,Insect,Insect,2002,2002,0
North Cascades,Insect,Insect,2002,2002,70000
North Central Appalachians,Insect,Insect,2002,2002,100
North Central Hardwood Forests,Insect,Insect,2002,2002,0
Northeastern Coastal Zone,Insect,Insect,2002,2002,300
Northeastern Highlands,Insect,Insect,2002,2002,5700
Northern Allegheny Plateau,Insect,Insect,2002,2002,700
