StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Coast Range,Insect: High Severity,Insect,2002,2002,0
Puget Lowland,Insect: High Severity,Insect,2002,2002,0
Willamette Valley,Insect: High Severity,Insect,2002,2002,0
Cascades,Insect: High Severity,Insect,2002,2002,4300
Sierra Nevada,Insect: High Severity,Insect,2002,2002,7200
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2002,2002,100
Central California Valley,Insect: High Severity,Insect,2002,2002,0
Southern California Mountains,Insect: High Severity,Insect,2002,2002,0
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2002,2002,3900
Columbia Plateau,Insect: High Severity,Insect,2002,2002,0
Blue Mountains,Insect: High Severity,Insect,2002,2002,200
Snake River Plain,Insect: High Severity,Insect,2002,2002,0
Central Basin and Range,Insect: High Severity,Insect,2002,2002,600
Mojave Basin and Range,Insect: High Severity,Insect,2002,2002,0
Northern Rockies,Insect: High Severity,Insect,2002,2002,11800
Idaho Batholith,Insect: High Severity,Insect,2002,2002,28700
Middle Rockies,Insect: High Severity,Insect,2002,2002,2600
Wyoming Basin,Insect: High Severity,Insect,2002,2002,0
Wasatch and Uinta Mountains,Insect: High Severity,Insect,2002,2002,2600
Colorado Plateaus,Insect: High Severity,Insect,2002,2002,0
Southern Rockies,Insect: High Severity,Insect,2002,2002,15900
Arizona/New Mexico Plateau,Insect: High Severity,Insect,2002,2002,6700
Arizona/New Mexico Mountains,Insect: High Severity,Insect,2002,2002,6700
Chihuahuan Deserts,Insect: High Severity,Insect,2002,2002,0
High Plains,Insect: High Severity,Insect,2002,2002,0
Southwestern Tablelands,Insect: High Severity,Insect,2002,2002,0
Central Great Plains,Insect: High Severity,Insect,2002,2002,0
Flint Hills,Insect: High Severity,Insect,2002,2002,0
Cross Timbers,Insect: High Severity,Insect,2002,2002,0
Edwards Plateau,Insect: High Severity,Insect,2002,2002,0
Southern Texas Plains,Insect: High Severity,Insect,2002,2002,0
Texas Blackland Prairies,Insect: High Severity,Insect,2002,2002,0
East Central Texas Plains,Insect: High Severity,Insect,2002,2002,0
Western Gulf Coastal Plain,Insect: High Severity,Insect,2002,2002,0
South Central Plains,Insect: High Severity,Insect,2002,2002,100
Ouachita Mountains,Insect: High Severity,Insect,2002,2002,0
Arkansas Valley,Insect: High Severity,Insect,2002,2002,0
Boston Mountains,Insect: High Severity,Insect,2002,2002,0
Ozark Highlands,Insect: High Severity,Insect,2002,2002,0
Central Irregular Plains,Insect: High Severity,Insect,2002,2002,0
Canadian Rockies,Insect: High Severity,Insect,2002,2002,1500
Northwestern Glaciated Plains,Insect: High Severity,Insect,2002,2002,0
Northwestern Great Plains,Insect: High Severity,Insect,2002,2002,0
Nebraska Sand Hills,Insect: High Severity,Insect,2002,2002,0
Piedmont,Insect: High Severity,Insect,2002,2002,100
