StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Acadian Plains and Hills,Intensification,Intensification,2001,2006,20
Acadian Plains and Hills,Intensification,Intensification,2007,2012,40
Acadian Plains and Hills,Intensification,Intensification,2012,2017,0
Arizona/New Mexico Mountains,Intensification,Intensification,2001,2006,100
Arizona/New Mexico Mountains,Intensification,Intensification,2007,2012,20
Arizona/New Mexico Mountains,Intensification,Intensification,2012,2017,0
Arizona/New Mexico Plateau,Intensification,Intensification,2001,2006,120
Arizona/New Mexico Plateau,Intensification,Intensification,2007,2012,140
Arizona/New Mexico Plateau,Intensification,Intensification,2012,2017,40
Arkansas Valley,Intensification,Intensification,2001,2006,140
Arkansas Valley,Intensification,Intensification,2007,2012,20
Arkansas Valley,Intensification,Intensification,2012,2017,40
Atlantic Coastal Pine Barrens,Intensification,Intensification,2001,2006,540
Atlantic Coastal Pine Barrens,Intensification,Intensification,2007,2012,400
Atlantic Coastal Pine Barrens,Intensification,Intensification,2012,2017,220
Blue Mountains,Intensification,Intensification,2001,2006,20
Blue Mountains,Intensification,Intensification,2007,2012,0
Blue Mountains,Intensification,Intensification,2012,2017,0
Blue Ridge,Intensification,Intensification,2001,2006,60
Blue Ridge,Intensification,Intensification,2007,2012,140
Blue Ridge,Intensification,Intensification,2012,2017,20
Boston Mountains,Intensification,Intensification,2001,2006,0
Boston Mountains,Intensification,Intensification,2007,2012,20
Boston Mountains,Intensification,Intensification,2012,2017,0
Canadian Rockies,Intensification,Intensification,2001,2006,0
Canadian Rockies,Intensification,Intensification,2007,2012,0
Canadian Rockies,Intensification,Intensification,2012,2017,0
Cascades,Intensification,Intensification,2001,2006,0
Cascades,Intensification,Intensification,2007,2012,0
Cascades,Intensification,Intensification,2012,2017,0
Central Appalachians,Intensification,Intensification,2001,2006,20
Central Appalachians,Intensification,Intensification,2007,2012,20
Central Appalachians,Intensification,Intensification,2012,2017,60
Central Basin and Range,Intensification,Intensification,2001,2006,140
Central Basin and Range,Intensification,Intensification,2007,2012,320
Central Basin and Range,Intensification,Intensification,2012,2017,60
Central California Foothills and Coastal Mountains,Intensification,Intensification,2001,2006,780
Central California Foothills and Coastal Mountains,Intensification,Intensification,2007,2012,140
Central California Foothills and Coastal Mountains,Intensification,Intensification,2012,2017,160
Central California Valley,Intensification,Intensification,2001,2006,760
Central California Valley,Intensification,Intensification,2007,2012,340
Central California Valley,Intensification,Intensification,2012,2017,200
Central Corn Belt Plains,Intensification,Intensification,2001,2006,880
Central Corn Belt Plains,Intensification,Intensification,2007,2012,740
Central Corn Belt Plains,Intensification,Intensification,2012,2017,40
Central Great Plains,Intensification,Intensification,2001,2006,840
Central Great Plains,Intensification,Intensification,2007,2012,320
Central Great Plains,Intensification,Intensification,2012,2017,240
Central Irregular Plains,Intensification,Intensification,2001,2006,360
Central Irregular Plains,Intensification,Intensification,2007,2012,140
Central Irregular Plains,Intensification,Intensification,2012,2017,80
Chihuahuan Deserts,Intensification,Intensification,2001,2006,120
Chihuahuan Deserts,Intensification,Intensification,2007,2012,60
Chihuahuan Deserts,Intensification,Intensification,2012,2017,20
Coast Range,Intensification,Intensification,2001,2006,0
Coast Range,Intensification,Intensification,2007,2012,60
Coast Range,Intensification,Intensification,2012,2017,20
Colorado Plateaus,Intensification,Intensification,2001,2006,0
Colorado Plateaus,Intensification,Intensification,2007,2012,40
Colorado Plateaus,Intensification,Intensification,2012,2017,40
Columbia Plateau,Intensification,Intensification,2001,2006,160
Columbia Plateau,Intensification,Intensification,2007,2012,100
Columbia Plateau,Intensification,Intensification,2012,2017,20
Cross Timbers,Intensification,Intensification,2001,2006,380
Cross Timbers,Intensification,Intensification,2007,2012,440
Cross Timbers,Intensification,Intensification,2012,2017,300
Driftless Area,Intensification,Intensification,2001,2006,220
Driftless Area,Intensification,Intensification,2007,2012,60
Driftless Area,Intensification,Intensification,2012,2017,0
East Central Texas Plains,Intensification,Intensification,2001,2006,120
East Central Texas Plains,Intensification,Intensification,2007,2012,80
East Central Texas Plains,Intensification,Intensification,2012,2017,40
Eastern Cascades Slopes and Foothills,Intensification,Intensification,2001,2006,0
Eastern Cascades Slopes and Foothills,Intensification,Intensification,2007,2012,20
Eastern Cascades Slopes and Foothills,Intensification,Intensification,2012,2017,0
Eastern Corn Belt Plains,Intensification,Intensification,2001,2006,1220
Eastern Corn Belt Plains,Intensification,Intensification,2007,2012,600
Eastern Corn Belt Plains,Intensification,Intensification,2012,2017,460
Eastern Great Lakes Lowlands,Intensification,Intensification,2001,2006,360
Eastern Great Lakes Lowlands,Intensification,Intensification,2007,2012,280
Eastern Great Lakes Lowlands,Intensification,Intensification,2012,2017,140
Edwards Plateau,Intensification,Intensification,2001,2006,200
Edwards Plateau,Intensification,Intensification,2007,2012,100
Edwards Plateau,Intensification,Intensification,2012,2017,180
Erie Drift Plain,Intensification,Intensification,2001,2006,580
Erie Drift Plain,Intensification,Intensification,2007,2012,160
Erie Drift Plain,Intensification,Intensification,2012,2017,140
Flint Hills,Intensification,Intensification,2001,2006,0
Flint Hills,Intensification,Intensification,2007,2012,0
Flint Hills,Intensification,Intensification,2012,2017,0
High Plains,Intensification,Intensification,2001,2006,420
High Plains,Intensification,Intensification,2007,2012,380
High Plains,Intensification,Intensification,2012,2017,140
Huron/Erie Lake Plains,Intensification,Intensification,2001,2006,400
Huron/Erie Lake Plains,Intensification,Intensification,2007,2012,380
Huron/Erie Lake Plains,Intensification,Intensification,2012,2017,200
Idaho Batholith,Intensification,Intensification,2001,2006,0
Idaho Batholith,Intensification,Intensification,2007,2012,0
Idaho Batholith,Intensification,Intensification,2012,2017,0
Interior Plateau,Intensification,Intensification,2001,2006,900
Interior Plateau,Intensification,Intensification,2007,2012,300
Interior Plateau,Intensification,Intensification,2012,2017,300
Interior River Valleys and Hills,Intensification,Intensification,2001,2006,480
Interior River Valleys and Hills,Intensification,Intensification,2007,2012,400
Interior River Valleys and Hills,Intensification,Intensification,2012,2017,160
Klamath Mountains/California High North Coast Range,Intensification,Intensification,2001,2006,20
Klamath Mountains/California High North Coast Range,Intensification,Intensification,2007,2012,20
Klamath Mountains/California High North Coast Range,Intensification,Intensification,2012,2017,20
Lake Agassiz Plain,Intensification,Intensification,2001,2006,60
Lake Agassiz Plain,Intensification,Intensification,2007,2012,60
Lake Agassiz Plain,Intensification,Intensification,2012,2017,0
Madrean Archipelago,Intensification,Intensification,2001,2006,40
Madrean Archipelago,Intensification,Intensification,2007,2012,0
Madrean Archipelago,Intensification,Intensification,2012,2017,0
Middle Atlantic Coastal Plain,Intensification,Intensification,2001,2006,800
Middle Atlantic Coastal Plain,Intensification,Intensification,2007,2012,500
Middle Atlantic Coastal Plain,Intensification,Intensification,2012,2017,180
Middle Rockies,Intensification,Intensification,2001,2006,40
Middle Rockies,Intensification,Intensification,2007,2012,60
Middle Rockies,Intensification,Intensification,2012,2017,0
Mississippi Alluvial Plain,Intensification,Intensification,2001,2006,500
Mississippi Alluvial Plain,Intensification,Intensification,2007,2012,260
Mississippi Alluvial Plain,Intensification,Intensification,2012,2017,60
Mississippi Valley Loess Plains,Intensification,Intensification,2001,2006,700
Mississippi Valley Loess Plains,Intensification,Intensification,2007,2012,360
Mississippi Valley Loess Plains,Intensification,Intensification,2012,2017,180
Mojave Basin and Range,Intensification,Intensification,2001,2006,580
Mojave Basin and Range,Intensification,Intensification,2007,2012,160
Mojave Basin and Range,Intensification,Intensification,2012,2017,0
Nebraska Sand Hills,Intensification,Intensification,2001,2006,0
Nebraska Sand Hills,Intensification,Intensification,2007,2012,0
Nebraska Sand Hills,Intensification,Intensification,2012,2017,0
North Cascades,Intensification,Intensification,2001,2006,0
North Cascades,Intensification,Intensification,2007,2012,0
North Cascades,Intensification,Intensification,2012,2017,0
North Central Appalachians,Intensification,Intensification,2001,2006,0
North Central Appalachians,Intensification,Intensification,2007,2012,0
North Central Appalachians,Intensification,Intensification,2012,2017,20
North Central Hardwood Forests,Intensification,Intensification,2001,2006,960
North Central Hardwood Forests,Intensification,Intensification,2007,2012,560
North Central Hardwood Forests,Intensification,Intensification,2012,2017,200
Northeastern Coastal Zone,Intensification,Intensification,2001,2006,1400
Northeastern Coastal Zone,Intensification,Intensification,2007,2012,1100
Northeastern Coastal Zone,Intensification,Intensification,2012,2017,500
Northeastern Highlands,Intensification,Intensification,2001,2006,20
Northeastern Highlands,Intensification,Intensification,2007,2012,40
Northeastern Highlands,Intensification,Intensification,2012,2017,20
Northern Allegheny Plateau,Intensification,Intensification,2001,2006,20
Northern Allegheny Plateau,Intensification,Intensification,2007,2012,40
Northern Allegheny Plateau,Intensification,Intensification,2012,2017,0
Northern Basin and Range,Intensification,Intensification,2001,2006,0
Northern Basin and Range,Intensification,Intensification,2007,2012,0
Northern Basin and Range,Intensification,Intensification,2012,2017,0
Northern Glaciated Plains,Intensification,Intensification,2001,2006,160
Northern Glaciated Plains,Intensification,Intensification,2007,2012,20
Northern Glaciated Plains,Intensification,Intensification,2012,2017,40
Northern Lakes and Forests,Intensification,Intensification,2001,2006,120
Northern Lakes and Forests,Intensification,Intensification,2007,2012,100
Northern Lakes and Forests,Intensification,Intensification,2012,2017,80
Northern Minnesota Wetlands,Intensification,Intensification,2001,2006,20
Northern Minnesota Wetlands,Intensification,Intensification,2007,2012,0
Northern Minnesota Wetlands,Intensification,Intensification,2012,2017,0
Northern Piedmont,Intensification,Intensification,2001,2006,880
Northern Piedmont,Intensification,Intensification,2007,2012,480
Northern Piedmont,Intensification,Intensification,2012,2017,320
Northern Rockies,Intensification,Intensification,2001,2006,80
Northern Rockies,Intensification,Intensification,2007,2012,20
Northern Rockies,Intensification,Intensification,2012,2017,60
Northwestern Glaciated Plains,Intensification,Intensification,2001,2006,60
Northwestern Glaciated Plains,Intensification,Intensification,2007,2012,60
Northwestern Glaciated Plains,Intensification,Intensification,2012,2017,0
Northwestern Great Plains,Intensification,Intensification,2001,2006,100
Northwestern Great Plains,Intensification,Intensification,2007,2012,60
Northwestern Great Plains,Intensification,Intensification,2012,2017,60
Ouachita Mountains,Intensification,Intensification,2001,2006,20
Ouachita Mountains,Intensification,Intensification,2007,2012,60
Ouachita Mountains,Intensification,Intensification,2012,2017,0
Ozark Highlands,Intensification,Intensification,2001,2006,220
Ozark Highlands,Intensification,Intensification,2007,2012,100
Ozark Highlands,Intensification,Intensification,2012,2017,20
Piedmont,Intensification,Intensification,2001,2006,1800
Piedmont,Intensification,Intensification,2007,2012,1280
Piedmont,Intensification,Intensification,2012,2017,520
Puget Lowland,Intensification,Intensification,2001,2006,920
Puget Lowland,Intensification,Intensification,2007,2012,280
Puget Lowland,Intensification,Intensification,2012,2017,220
Ridge and Valley,Intensification,Intensification,2001,2006,1160
Ridge and Valley,Intensification,Intensification,2007,2012,700
Ridge and Valley,Intensification,Intensification,2012,2017,320
Sierra Nevada,Intensification,Intensification,2001,2006,0
Sierra Nevada,Intensification,Intensification,2007,2012,0
Sierra Nevada,Intensification,Intensification,2012,2017,0
Snake River Plain,Intensification,Intensification,2001,2006,260
Snake River Plain,Intensification,Intensification,2007,2012,160
