StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Coast Range,Intensification: Open to Low,Intensification,2001,2006,40
Puget Lowland,Intensification: Open to Low,Intensification,2001,2006,20
Willamette Valley,Intensification: Open to Low,Intensification,2001,2006,0
Cascades,Intensification: Open to Low,Intensification,2001,2006,0
Sierra Nevada,Intensification: Open to Low,Intensification,2001,2006,0
Central California Foothills and Coastal Mountains,Intensification: Open to Low,Intensification,2001,2006,100
Central California Valley,Intensification: Open to Low,Intensification,2001,2006,100
Southern California Mountains,Intensification: Open to Low,Intensification,2001,2006,0
Eastern Cascades Slopes and Foothills,Intensification: Open to Low,Intensification,2001,2006,0
Columbia Plateau,Intensification: Open to Low,Intensification,2001,2006,0
Blue Mountains,Intensification: Open to Low,Intensification,2001,2006,0
Snake River Plain,Intensification: Open to Low,Intensification,2001,2006,20
Central Basin and Range,Intensification: Open to Low,Intensification,2001,2006,40
Mojave Basin and Range,Intensification: Open to Low,Intensification,2001,2006,40
Northern Rockies,Intensification: Open to Low,Intensification,2001,2006,40
Idaho Batholith,Intensification: Open to Low,Intensification,2001,2006,0
Middle Rockies,Intensification: Open to Low,Intensification,2001,2006,0
Wyoming Basin,Intensification: Open to Low,Intensification,2001,2006,0
Wasatch and Uinta Mountains,Intensification: Open to Low,Intensification,2001,2006,20
Colorado Plateaus,Intensification: Open to Low,Intensification,2001,2006,0
Southern Rockies,Intensification: Open to Low,Intensification,2001,2006,0
Arizona/New Mexico Plateau,Intensification: Open to Low,Intensification,2001,2006,0
Arizona/New Mexico Mountains,Intensification: Open to Low,Intensification,2001,2006,0
Chihuahuan Deserts,Intensification: Open to Low,Intensification,2001,2006,0
High Plains,Intensification: Open to Low,Intensification,2001,2006,20
Southwestern Tablelands,Intensification: Open to Low,Intensification,2001,2006,0
Central Great Plains,Intensification: Open to Low,Intensification,2001,2006,60
Flint Hills,Intensification: Open to Low,Intensification,2001,2006,0
Cross Timbers,Intensification: Open to Low,Intensification,2001,2006,40
Edwards Plateau,Intensification: Open to Low,Intensification,2001,2006,100
Southern Texas Plains,Intensification: Open to Low,Intensification,2001,2006,20
Texas Blackland Prairies,Intensification: Open to Low,Intensification,2001,2006,220
East Central Texas Plains,Intensification: Open to Low,Intensification,2001,2006,0
Western Gulf Coastal Plain,Intensification: Open to Low,Intensification,2001,2006,180
South Central Plains,Intensification: Open to Low,Intensification,2001,2006,20
