StratumID,TransitionGroupID,Amount
Acadian Plains and Hills,Ag Expansion: Cropland [Type],0.4
Acadian Plains and Hills,Ag Expansion: Pasture [Type],0.6
Arizona/New Mexico Mountains,Ag Expansion: Cropland [Type],1
Arizona/New Mexico Mountains,Ag Expansion: Pasture [Type],0
Arizona/New Mexico Plateau,Ag Expansion: Cropland [Type],0.8842592592592593
Arizona/New Mexico Plateau,Ag Expansion: Pasture [Type],0.11574074074074074
Arkansas Valley,Ag Expansion: Cropland [Type],0.07042253521126761
Arkansas Valley,Ag Expansion: Pasture [Type],0.9295774647887324
Atlantic Coastal Pine Barrens,Ag Expansion: Cropland [Type],0.8095238095238095
Atlantic Coastal Pine Barrens,Ag Expansion: Pasture [Type],0.19047619047619047
Blue Mountains,Ag Expansion: Cropland [Type],0.8983050847457628
Blue Mountains,Ag Expansion: Pasture [Type],0.1016949152542373
Blue Ridge,Ag Expansion: Cropland [Type],0.08571428571428572
Blue Ridge,Ag Expansion: Pasture [Type],0.9142857142857143
Boston Mountains,Ag Expansion: Cropland [Type],0
Boston Mountains,Ag Expansion: Pasture [Type],1
Canadian Rockies,Ag Expansion: Cropland [Type],1
Canadian Rockies,Ag Expansion: Pasture [Type],0
Cascades,Ag Expansion: Cropland [Type],0.2222222222222222
Cascades,Ag Expansion: Pasture [Type],0.7777777777777778
Central Appalachians,Ag Expansion: Cropland [Type],0.1746031746031746
Central Appalachians,Ag Expansion: Pasture [Type],0.8253968253968254
Central Basin and Range,Ag Expansion: Cropland [Type],0.9322381930184805
Central Basin and Range,Ag Expansion: Pasture [Type],0.06776180698151951
Central California Foothills and Coastal Mountains,Ag Expansion: Cropland [Type],0.9870410367170627
Central California Foothills and Coastal Mountains,Ag Expansion: Pasture [Type],0.012958963282937365
Central California Valley,Ag Expansion: Cropland [Type],0.9696092619392185
Central California Valley,Ag Expansion: Pasture [Type],0.030390738060781478
Central Corn Belt Plains,Ag Expansion: Cropland [Type],0.71875
Central Corn Belt Plains,Ag Expansion: Pasture [Type],0.28125
Central Great Plains,Ag Expansion: Cropland [Type],0.9517295290209107
Central Great Plains,Ag Expansion: Pasture [Type],0.04827047097908931
Central Irregular Plains,Ag Expansion: Cropland [Type],0.42362525458248473
Central Irregular Plains,Ag Expansion: Pasture [Type],0.5763747454175153
Chihuahuan Deserts,Ag Expansion: Cropland [Type],1
Chihuahuan Deserts,Ag Expansion: Pasture [Type],0
Coast Range,Ag Expansion: Cropland [Type],0.14285714285714285
Coast Range,Ag Expansion: Pasture [Type],0.8571428571428571
Colorado Plateaus,Ag Expansion: Cropland [Type],0.9242424242424242
Colorado Plateaus,Ag Expansion: Pasture [Type],0.07575757575757576
Columbia Plateau,Ag Expansion: Cropland [Type],0.9524207011686143
Columbia Plateau,Ag Expansion: Pasture [Type],0.04757929883138564
Cross Timbers,Ag Expansion: Cropland [Type],0.903337169159954
