StratumID,TransitionGroupID,Amount
Acadian Plains and Hills,Fire: High Severity [Type],0
Acadian Plains and Hills,Fire: Low Severity [Type],0.75
Acadian Plains and Hills,Fire: Medium Severity [Type],0.25
Arizona/New Mexico Mountains,Fire: High Severity [Type],0.097475098
Arizona/New Mexico Mountains,Fire: Low Severity [Type],0.729256428
Arizona/New Mexico Mountains,Fire: Medium Severity [Type],0.173268473
Arizona/New Mexico Plateau,Fire: High Severity [Type],0.036015757
Arizona/New Mexico Plateau,Fire: Low Severity [Type],0.84299381
Arizona/New Mexico Plateau,Fire: Medium Severity [Type],0.120990433
Arkansas Valley,Fire: High Severity [Type],0.005263158
Arkansas Valley,Fire: Low Severity [Type],0.940601504
Arkansas Valley,Fire: Medium Severity [Type],0.054135338
Atlantic Coastal Pine Barrens,Fire: High Severity [Type],0.151234568
Atlantic Coastal Pine Barrens,Fire: Low Severity [Type],0.685185185
Atlantic Coastal Pine Barrens,Fire: Medium Severity [Type],0.163580247
Blue Mountains,Fire: High Severity [Type],0.081227249
Blue Mountains,Fire: Low Severity [Type],0.73374935
Blue Mountains,Fire: Medium Severity [Type],0.185023401
Blue Ridge,Fire: High Severity [Type],0.041634541
Blue Ridge,Fire: Low Severity [Type],0.826522745
Blue Ridge,Fire: Medium Severity [Type],0.131842714
Boston Mountains,Fire: High Severity [Type],0.024024024
Boston Mountains,Fire: Low Severity [Type],0.923723724
Boston Mountains,Fire: Medium Severity [Type],0.052252252
Canadian Rockies,Fire: High Severity [Type],0.277628935
Canadian Rockies,Fire: Low Severity [Type],0.469524447
Canadian Rockies,Fire: Medium Severity [Type],0.252846618
Cascades,Fire: High Severity [Type],0.163026105
Cascades,Fire: Low Severity [Type],0.619072989
Cascades,Fire: Medium Severity [Type],0.217900906
Central Appalachians,Fire: High Severity [Type],0.016509434
Central Appalachians,Fire: Low Severity [Type],0.849056604
Central Appalachians,Fire: Medium Severity [Type],0.134433962
Central Basin and Range,Fire: High Severity [Type],0.071144422
Central Basin and Range,Fire: Low Severity [Type],0.675929663
Central Basin and Range,Fire: Medium Severity [Type],0.252925915
Central California Foothills and Coastal Mountains,Fire: High Severity [Type],0.109970127
Central California Foothills and Coastal Mountains,Fire: Low Severity [Type],0.653846154
Central California Foothills and Coastal Mountains,Fire: Medium Severity [Type],0.236183719
Central California Valley,Fire: High Severity [Type],0.081018519
Central California Valley,Fire: Low Severity [Type],0.803240741
Central California Valley,Fire: Medium Severity [Type],0.115740741
Central Corn Belt Plains,Fire: High Severity [Type],0
Central Corn Belt Plains,Fire: Low Severity [Type],1
Central Corn Belt Plains,Fire: Medium Severity [Type],0
Central Great Plains,Fire: High Severity [Type],0.013358269
Central Great Plains,Fire: Low Severity [Type],0.815923056
Central Great Plains,Fire: Medium Severity [Type],0.170718675
Central Irregular Plains,Fire: High Severity [Type],0
Central Irregular Plains,Fire: Low Severity [Type],0.994571118
Central Irregular Plains,Fire: Medium Severity [Type],0.005428882
Chihuahuan Deserts,Fire: High Severity [Type],0.014960498
Chihuahuan Deserts,Fire: Low Severity [Type],0.826357371
Chihuahuan Deserts,Fire: Medium Severity [Type],0.158682131
Coast Range,Fire: High Severity [Type],0.0917603
Coast Range,Fire: Low Severity [Type],0.765917603
Coast Range,Fire: Medium Severity [Type],0.142322097
Colorado Plateaus,Fire: High Severity [Type],0.202921437
Colorado Plateaus,Fire: Low Severity [Type],0.506908804
Colorado Plateaus,Fire: Medium Severity [Type],0.290169759
Columbia Plateau,Fire: High Severity [Type],0.02039949
Columbia Plateau,Fire: Low Severity [Type],0.783680408
Columbia Plateau,Fire: Medium Severity [Type],0.195920102
Cross Timbers,Fire: High Severity [Type],0.023138833
Cross Timbers,Fire: Low Severity [Type],0.909121395
Cross Timbers,Fire: Medium Severity [Type],0.067739772
Driftless Area,Fire: High Severity [Type],0
Driftless Area,Fire: Low Severity [Type],1
Driftless Area,Fire: Medium Severity [Type],0
East Central Texas Plains,Fire: High Severity [Type],0.071225071
East Central Texas Plains,Fire: Low Severity [Type],0.723646724
East Central Texas Plains,Fire: Medium Severity [Type],0.205128205
Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.127831094
Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.694049904
Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.178119002
Eastern Corn Belt Plains,Fire: High Severity [Type],0.031468531
Eastern Corn Belt Plains,Fire: Low Severity [Type],0.737762238
Eastern Corn Belt Plains,Fire: Medium Severity [Type],0.230769231
Eastern Great Lakes Lowlands,Fire: High Severity [Type],0
Eastern Great Lakes Lowlands,Fire: Low Severity [Type],1
Eastern Great Lakes Lowlands,Fire: Medium Severity [Type],0
Edwards Plateau,Fire: High Severity [Type],0.012727273
Edwards Plateau,Fire: Low Severity [Type],0.768571429
Edwards Plateau,Fire: Medium Severity [Type],0.218701299
Erie Drift Plain,Fire: High Severity [Type],0
Erie Drift Plain,Fire: Low Severity [Type],1
Erie Drift Plain,Fire: Medium Severity [Type],0
Flint Hills,Fire: High Severity [Type],0
Flint Hills,Fire: Low Severity [Type],0.998753278
Flint Hills,Fire: Medium Severity [Type],0.001246722
High Plains,Fire: High Severity [Type],0.012636567
High Plains,Fire: Low Severity [Type],0.871133342
High Plains,Fire: Medium Severity [Type],0.116230091
Huron/Erie Lake Plains,Fire: High Severity [Type],0
Huron/Erie Lake Plains,Fire: Low Severity [Type],1
Huron/Erie Lake Plains,Fire: Medium Severity [Type],0
Idaho Batholith,Fire: High Severity [Type],0.206208426
Idaho Batholith,Fire: Low Severity [Type],0.585820683
Idaho Batholith,Fire: Medium Severity [Type],0.207970891
Interior Plateau,Fire: High Severity [Type],0.008888889
Interior Plateau,Fire: Low Severity [Type],0.915555556
Interior Plateau,Fire: Medium Severity [Type],0.075555556
Interior River Valleys and Hills,Fire: High Severity [Type],0.02173913
Interior River Valleys and Hills,Fire: Low Severity [Type],0.923913043
Interior River Valleys and Hills,Fire: Medium Severity [Type],0.054347826
Klamath Mountains/California High North Coast Range,Fire: High Severity [Type],0.199421
Klamath Mountains/California High North Coast Range,Fire: Low Severity [Type],0.58311992
Klamath Mountains/California High North Coast Range,Fire: Medium Severity [Type],0.21745908
Lake Agassiz Plain,Fire: High Severity [Type],0.016973126
Lake Agassiz Plain,Fire: Low Severity [Type],0.944837341
Lake Agassiz Plain,Fire: Medium Severity [Type],0.038189533
Madrean Archipelago,Fire: High Severity [Type],0.049098933
Madrean Archipelago,Fire: Low Severity [Type],0.751011401
Madrean Archipelago,Fire: Medium Severity [Type],0.199889665
Middle Atlantic Coastal Plain,Fire: High Severity [Type],0.066163668
Middle Atlantic Coastal Plain,Fire: Low Severity [Type],0.810795125
Middle Atlantic Coastal Plain,Fire: Medium Severity [Type],0.123041207
Middle Rockies,Fire: High Severity [Type],0.182111829
Middle Rockies,Fire: Low Severity [Type],0.624526621
Middle Rockies,Fire: Medium Severity [Type],0.19336155
Mississippi Alluvial Plain,Fire: High Severity [Type],0.162393162
Mississippi Alluvial Plain,Fire: Low Severity [Type],0.256410256
Mississippi Alluvial Plain,Fire: Medium Severity [Type],0.581196581
Mississippi Valley Loess Plains,Fire: High Severity [Type],0
Mississippi Valley Loess Plains,Fire: Low Severity [Type],0.96969697
Mississippi Valley Loess Plains,Fire: Medium Severity [Type],0.03030303
Mojave Basin and Range,Fire: High Severity [Type],0.053557154
Mojave Basin and Range,Fire: Low Severity [Type],0.693205436
Mojave Basin and Range,Fire: Medium Severity [Type],0.25323741
Nebraska Sand Hills,Fire: High Severity [Type],0
Nebraska Sand Hills,Fire: Low Severity [Type],0.99376947
Nebraska Sand Hills,Fire: Medium Severity [Type],0.00623053
North Cascades,Fire: High Severity [Type],0.265571914
North Cascades,Fire: Low Severity [Type],0.507361268
North Cascades,Fire: Medium Severity [Type],0.227066818
North Central Appalachians,Fire: High Severity [Type],0.162162162
North Central Appalachians,Fire: Low Severity [Type],0.756756757
North Central Appalachians,Fire: Medium Severity [Type],0.081081081
North Central Hardwood Forests,Fire: High Severity [Type],0.039697543
North Central Hardwood Forests,Fire: Low Severity [Type],0.896030246
North Central Hardwood Forests,Fire: Medium Severity [Type],0.064272212
Northeastern Coastal Zone,Fire: High Severity [Type],0
Northeastern Coastal Zone,Fire: Low Severity [Type],1
Northeastern Coastal Zone,Fire: Medium Severity [Type],0
Northeastern Highlands,Fire: High Severity [Type],0
