Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,TSTGroupID,TSTMin,TSTMax,TransitionGroupID,TransitionMultiplierTypeID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2002,,,,Forest: White/Red/Jack Pine Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Spruce/Fir Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Longleaf/Slash Pine Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Loblolly/Shortleaf Pine Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Pinyon/Juniper Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Douglas-fir Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Ponderosa Pine Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Western White Pine Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Fir/Spruce/Mountain Hemlock Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Lodgepole Pine Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Hemlock/Sitka Spruce Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Western Larch Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Redwood Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Other Western Softwood Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: California Mixed Conifer Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Exotic Softwoods Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Oak/Pine Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Oak/Hickory Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Oak/Gum/Cypress Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
,2002,,,,Forest: Elm/Ash/Cottonwood Group,0,,,,,Forest Harvest: Forest Clearcut [Type],,1,,,,,
