StratumID,TransitionGroupID,Amount
Acadian Plains and Hills,Intensification: Low to High [Type],0.05
Acadian Plains and Hills,Intensification: Low to Medium [Type],0.15
Acadian Plains and Hills,Intensification: Medium to High [Type],0
Acadian Plains and Hills,Intensification: Open to High [Type],0.15
Acadian Plains and Hills,Intensification: Open to Low [Type],0.25
Acadian Plains and Hills,Intensification: Open to Medium [Type],0.4
Arizona/New Mexico Mountains,Intensification: Low to High [Type],0.25
Arizona/New Mexico Mountains,Intensification: Low to Medium [Type],0.416666667
Arizona/New Mexico Mountains,Intensification: Medium to High [Type],0
Arizona/New Mexico Mountains,Intensification: Open to High [Type],0
Arizona/New Mexico Mountains,Intensification: Open to Low [Type],0
Arizona/New Mexico Mountains,Intensification: Open to Medium [Type],0.333333333
Arizona/New Mexico Plateau,Intensification: Low to High [Type],0.264705882
Arizona/New Mexico Plateau,Intensification: Low to Medium [Type],0.294117647
Arizona/New Mexico Plateau,Intensification: Medium to High [Type],0
Arizona/New Mexico Plateau,Intensification: Open to High [Type],0.058823529
Arizona/New Mexico Plateau,Intensification: Open to Low [Type],0.058823529
Arizona/New Mexico Plateau,Intensification: Open to Medium [Type],0.323529412
Arkansas Valley,Intensification: Low to High [Type],0.043478261
Arkansas Valley,Intensification: Low to Medium [Type],0.217391304
Arkansas Valley,Intensification: Medium to High [Type],0.043478261
Arkansas Valley,Intensification: Open to High [Type],0.086956522
Arkansas Valley,Intensification: Open to Low [Type],0.086956522
Arkansas Valley,Intensification: Open to Medium [Type],0.52173913
Atlantic Coastal Pine Barrens,Intensification: Low to High [Type],0.065420561
Atlantic Coastal Pine Barrens,Intensification: Low to Medium [Type],0.08411215
Atlantic Coastal Pine Barrens,Intensification: Medium to High [Type],0.037383178
Atlantic Coastal Pine Barrens,Intensification: Open to High [Type],0.046728972
Atlantic Coastal Pine Barrens,Intensification: Open to Low [Type],0.168224299
Atlantic Coastal Pine Barrens,Intensification: Open to Medium [Type],0.598130841
Blue Mountains,Intensification: Low to High [Type],0
Blue Mountains,Intensification: Low to Medium [Type],1
Blue Mountains,Intensification: Medium to High [Type],0
Blue Mountains,Intensification: Open to High [Type],0
Blue Mountains,Intensification: Open to Low [Type],0
Blue Mountains,Intensification: Open to Medium [Type],0
Blue Ridge,Intensification: Low to High [Type],0.133333333
Blue Ridge,Intensification: Low to Medium [Type],0.233333333
Blue Ridge,Intensification: Medium to High [Type],0
Blue Ridge,Intensification: Open to High [Type],0.066666667
Blue Ridge,Intensification: Open to Low [Type],0.233333333
Blue Ridge,Intensification: Open to Medium [Type],0.333333333
Boston Mountains,Intensification: Low to High [Type],1
Boston Mountains,Intensification: Low to Medium [Type],0
Boston Mountains,Intensification: Medium to High [Type],0
Boston Mountains,Intensification: Open to High [Type],0
Boston Mountains,Intensification: Open to Low [Type],0
Boston Mountains,Intensification: Open to Medium [Type],0
Canadian Rockies,Intensification: Low to High [Type],0
Canadian Rockies,Intensification: Low to Medium [Type],0
Canadian Rockies,Intensification: Medium to High [Type],0
Canadian Rockies,Intensification: Open to High [Type],0
Canadian Rockies,Intensification: Open to Low [Type],1
Canadian Rockies,Intensification: Open to Medium [Type],0
Cascades,Intensification: Low to High [Type],0
Cascades,Intensification: Low to Medium [Type],0
Cascades,Intensification: Medium to High [Type],0
Cascades,Intensification: Open to High [Type],0
Cascades,Intensification: Open to Low [Type],1
Cascades,Intensification: Open to Medium [Type],0
Central Appalachians,Intensification: Low to High [Type],0
Central Appalachians,Intensification: Low to Medium [Type],0.117647059
Central Appalachians,Intensification: Medium to High [Type],0.058823529
Central Appalachians,Intensification: Open to High [Type],0.117647059
Central Appalachians,Intensification: Open to Low [Type],0.058823529
Central Appalachians,Intensification: Open to Medium [Type],0.647058824
Central Basin and Range,Intensification: Low to High [Type],0.153846154
Central Basin and Range,Intensification: Low to Medium [Type],0.138461538
Central Basin and Range,Intensification: Medium to High [Type],0.076923077
Central Basin and Range,Intensification: Open to High [Type],0.107692308
Central Basin and Range,Intensification: Open to Low [Type],0.107692308
Central Basin and Range,Intensification: Open to Medium [Type],0.415384615
Central California Foothills and Coastal Mountains,Intensification: Low to High [Type],0.191011236
Central California Foothills and Coastal Mountains,Intensification: Low to Medium [Type],0.134831461
Central California Foothills and Coastal Mountains,Intensification: Medium to High [Type],0.011235955
Central California Foothills and Coastal Mountains,Intensification: Open to High [Type],0.157303371
Central California Foothills and Coastal Mountains,Intensification: Open to Low [Type],0.134831461
Central California Foothills and Coastal Mountains,Intensification: Open to Medium [Type],0.370786517
Central California Valley,Intensification: Low to High [Type],0.092436975
Central California Valley,Intensification: Low to Medium [Type],0.067226891
Central California Valley,Intensification: Medium to High [Type],0.016806723
Central California Valley,Intensification: Open to High [Type],0.168067227
Central California Valley,Intensification: Open to Low [Type],0.142857143
Central California Valley,Intensification: Open to Medium [Type],0.512605042
Central Corn Belt Plains,Intensification: Low to High [Type],0.238095238
Central Corn Belt Plains,Intensification: Low to Medium [Type],0.253968254
Central Corn Belt Plains,Intensification: Medium to High [Type],0.031746032
Central Corn Belt Plains,Intensification: Open to High [Type],0.087301587
Central Corn Belt Plains,Intensification: Open to Low [Type],0.063492063
Central Corn Belt Plains,Intensification: Open to Medium [Type],0.325396825
Central Great Plains,Intensification: Low to High [Type],0.145038168
Central Great Plains,Intensification: Low to Medium [Type],0.13740458
Central Great Plains,Intensification: Medium to High [Type],0.045801527
Central Great Plains,Intensification: Open to High [Type],0.083969466
Central Great Plains,Intensification: Open to Low [Type],0.122137405
Central Great Plains,Intensification: Open to Medium [Type],0.465648855
Central Irregular Plains,Intensification: Low to High [Type],0.228571429
Central Irregular Plains,Intensification: Low to Medium [Type],0.1
Central Irregular Plains,Intensification: Medium to High [Type],0.042857143
Central Irregular Plains,Intensification: Open to High [Type],0.114285714
Central Irregular Plains,Intensification: Open to Low [Type],0.071428571
Central Irregular Plains,Intensification: Open to Medium [Type],0.442857143
Chihuahuan Deserts,Intensification: Low to High [Type],0.259259259
Chihuahuan Deserts,Intensification: Low to Medium [Type],0.185185185
Chihuahuan Deserts,Intensification: Medium to High [Type],0.037037037
Chihuahuan Deserts,Intensification: Open to High [Type],0.037037037
Chihuahuan Deserts,Intensification: Open to Low [Type],0.037037037
Chihuahuan Deserts,Intensification: Open to Medium [Type],0.444444444
Coast Range,Intensification: Low to High [Type],0.176470588
Coast Range,Intensification: Low to Medium [Type],0.235294118
Coast Range,Intensification: Medium to High [Type],0.058823529
Coast Range,Intensification: Open to High [Type],0
Coast Range,Intensification: Open to Low [Type],0.176470588
Coast Range,Intensification: Open to Medium [Type],0.352941176
Colorado Plateaus,Intensification: Low to High [Type],0.166666667
Colorado Plateaus,Intensification: Low to Medium [Type],0
Colorado Plateaus,Intensification: Medium to High [Type],0
Colorado Plateaus,Intensification: Open to High [Type],0.166666667
Colorado Plateaus,Intensification: Open to Low [Type],0.166666667
Colorado Plateaus,Intensification: Open to Medium [Type],0.5
Columbia Plateau,Intensification: Low to High [Type],0.119047619
Columbia Plateau,Intensification: Low to Medium [Type],0.095238095
Columbia Plateau,Intensification: Medium to High [Type],0
Columbia Plateau,Intensification: Open to High [Type],0.023809524
Columbia Plateau,Intensification: Open to Low [Type],0.095238095
Columbia Plateau,Intensification: Open to Medium [Type],0.666666667
Cross Timbers,Intensification: Low to High [Type],0.028301887
Cross Timbers,Intensification: Low to Medium [Type],0.160377358
Cross Timbers,Intensification: Medium to High [Type],0
Cross Timbers,Intensification: Open to High [Type],0.094339623
Cross Timbers,Intensification: Open to Low [Type],0.132075472
Cross Timbers,Intensification: Open to Medium [Type],0.58490566
Driftless Area,Intensification: Low to High [Type],0.24137931
Driftless Area,Intensification: Low to Medium [Type],0.137931034
Driftless Area,Intensification: Medium to High [Type],0.068965517
Driftless Area,Intensification: Open to High [Type],0.068965517
Driftless Area,Intensification: Open to Low [Type],0.103448276
Driftless Area,Intensification: Open to Medium [Type],0.379310345
East Central Texas Plains,Intensification: Low to High [Type],0.205882353
East Central Texas Plains,Intensification: Low to Medium [Type],0.117647059
East Central Texas Plains,Intensification: Medium to High [Type],0
East Central Texas Plains,Intensification: Open to High [Type],0.058823529
East Central Texas Plains,Intensification: Open to Low [Type],0.058823529
East Central Texas Plains,Intensification: Open to Medium [Type],0.558823529
Eastern Cascades Slopes and Foothills,Intensification: Low to High [Type],0.5
Eastern Cascades Slopes and Foothills,Intensification: Low to Medium [Type],0.5
Eastern Cascades Slopes and Foothills,Intensification: Medium to High [Type],0
Eastern Cascades Slopes and Foothills,Intensification: Open to High [Type],0
Eastern Cascades Slopes and Foothills,Intensification: Open to Low [Type],0
Eastern Cascades Slopes and Foothills,Intensification: Open to Medium [Type],0
Eastern Corn Belt Plains,Intensification: Low to High [Type],0.168539326
Eastern Corn Belt Plains,Intensification: Low to Medium [Type],0.123595506
Eastern Corn Belt Plains,Intensification: Medium to High [Type],0.016853933
Eastern Corn Belt Plains,Intensification: Open to High [Type],0.101123596
Eastern Corn Belt Plains,Intensification: Open to Low [Type],0.117977528
Eastern Corn Belt Plains,Intensification: Open to Medium [Type],0.471910112
Eastern Great Lakes Lowlands,Intensification: Low to High [Type],0.151162791
Eastern Great Lakes Lowlands,Intensification: Low to Medium [Type],0.220930233
Eastern Great Lakes Lowlands,Intensification: Medium to High [Type],0.011627907
Eastern Great Lakes Lowlands,Intensification: Open to High [Type],0.081395349
Eastern Great Lakes Lowlands,Intensification: Open to Low [Type],0.139534884
Eastern Great Lakes Lowlands,Intensification: Open to Medium [Type],0.395348837
