Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Forest: White/Red/Jack Pine Group,,Forest: White/Red/Jack Pine Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Forest: Spruce/Fir Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Forest: Longleaf/Slash Pine Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Douglas-fir Group,,Forest: Douglas-fir Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Forest: Ponderosa Pine Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Western White Pine Group,,Forest: Western White Pine Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Western Larch Group,,Forest: Western Larch Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Redwood Group,,Forest: Redwood Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Forest: Other Western Softwood Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Forest: Oak/Pine Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Forest: Oak/Hickory Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Forest: Oak/Gum/Cypress Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Forest: Maple/Beech/Birch Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Western Oak Group,,Forest: Western Oak Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Forest: Tanoak/Laurel Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Forest: Other Western Hardwoods Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Forest: Tropical Hardwoods Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Forest Harvest: Forest Clearcut,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Forest: White/Red/Jack Pine Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Spruce/Fir Group,,Forest: Spruce/Fir Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Longleaf/Slash Pine Group,,Forest: Longleaf/Slash Pine Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Douglas-fir Group,,Forest: Douglas-fir Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Ponderosa Pine Group,,Forest: Ponderosa Pine Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Western White Pine Group,,Forest: Western White Pine Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Western Larch Group,,Forest: Western Larch Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Redwood Group,,Forest: Redwood Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
,,,Forest: Other Western Softwood Group,,Forest: Other Western Softwood Group,,,Forest Harvest: Forest Selection,1,,,,,FALSE,,,
