Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Grassland: All,,Forest: White/Red/Jack Pine Group,,,Reforestation Grassland: White/Red/Jack Pine Group,1,,,,,,,,
,,,Grassland: All,,Forest: Spruce/Fir Group,,,Reforestation Grassland: Spruce/Fir Group,1,,,,,,,,
,,,Grassland: All,,Forest: Longleaf/Slash Pine Group,,,Reforestation Grassland: Longleaf/Slash Pine Group,1,,,,,,,,
,,,Grassland: All,,Forest: Loblolly/Shortleaf Pine Group,,,Reforestation Grassland: Loblolly/Shortleaf Pine Group,1,,,,,,,,
,,,Grassland: All,,Forest: Pinyon/Juniper Group,,,Reforestation Grassland: Pinyon/Juniper Group,1,,,,,,,,
,,,Grassland: All,,Forest: Douglas-fir Group,,,Reforestation Grassland: Douglas-fir Group,1,,,,,,,,
,,,Grassland: All,,Forest: Ponderosa Pine Group,,,Reforestation Grassland: Ponderosa Pine Group,1,,,,,,,,
,,,Grassland: All,,Forest: Western White Pine Group,,,Reforestation Grassland: Western White Pine Group,1,,,,,,,,
,,,Grassland: All,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Reforestation Grassland: Fir/Spruce/Mountain Hemlock Group,1,,,,,,,,
,,,Grassland: All,,Forest: Lodgepole Pine Group,,,Reforestation Grassland: Lodgepole Pine Group,1,,,,,,,,
,,,Grassland: All,,Forest: Hemlock/Sitka Spruce Group,,,Reforestation Grassland: Hemlock/Sitka Spruce Group,1,,,,,,,,
,,,Grassland: All,,Forest: Western Larch Group,,,Reforestation Grassland: Western Larch Group,1,,,,,,,,
,,,Grassland: All,,Forest: Redwood Group,,,Reforestation Grassland: Redwood Group,1,,,,,,,,
,,,Grassland: All,,Forest: Other Western Softwood Group,,,Reforestation Grassland: Other Western Softwood Group,1,,,,,,,,
,,,Grassland: All,,Forest: California Mixed Conifer Group,,,Reforestation Grassland: California Mixed Conifer Group,1,,,,,,,,
,,,Grassland: All,,Forest: Exotic Softwoods Group,,,Reforestation Grassland: Exotic Softwoods Group,1,,,,,,,,
,,,Grassland: All,,Forest: Oak/Pine Group,,,Reforestation Grassland: Oak/Pine Group,1,,,,,,,,
,,,Grassland: All,,Forest: Oak/Hickory Group,,,Reforestation Grassland: Oak/Hickory Group,1,,,,,,,,
,,,Grassland: All,,Forest: Oak/Gum/Cypress Group,,,Reforestation Grassland: Oak/Gum/Cypress Group,1,,,,,,,,
,,,Grassland: All,,Forest: Elm/Ash/Cottonwood Group,,,Reforestation Grassland: Elm/Ash/Cottonwood Group,1,,,,,,,,
,,,Grassland: All,,Forest: Maple/Beech/Birch Group,,,Reforestation Grassland: Maple/Beech/Birch Group,1,,,,,,,,
,,,Grassland: All,,Forest: Aspen/Birch Group,,,Reforestation Grassland: Aspen/Birch Group,1,,,,,,,,
,,,Grassland: All,,Forest: Alder/Maple Group,,,Reforestation Grassland: Alder/Maple Group,1,,,,,,,,
,,,Grassland: All,,Forest: Western Oak Group,,,Reforestation Grassland: Western Oak Group,1,,,,,,,,
,,,Grassland: All,,Forest: Tanoak/Laurel Group,,,Reforestation Grassland: Tanoak/Laurel Group,1,,,,,,,,
,,,Grassland: All,,Forest: Other Western Hardwoods Group,,,Reforestation Grassland: Other Western Hardwoods Group,1,,,,,,,,
,,,Grassland: All,,Forest: Tropical Hardwoods Group,,,Reforestation Grassland: Tropical Hardwoods Group,1,,,,,,,,
,,,Grassland: All,,Forest: Exotic Hardwoods Group,,,Reforestation Grassland: Exotic Hardwoods Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: White/Red/Jack Pine Group,,,Reforestation Pasture: White/Red/Jack Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Spruce/Fir Group,,,Reforestation Pasture: Spruce/Fir Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Longleaf/Slash Pine Group,,,Reforestation Pasture: Longleaf/Slash Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Loblolly/Shortleaf Pine Group,,,Reforestation Pasture: Loblolly/Shortleaf Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Pinyon/Juniper Group,,,Reforestation Pasture: Pinyon/Juniper Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Douglas-fir Group,,,Reforestation Pasture: Douglas-fir Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Ponderosa Pine Group,,,Reforestation Pasture: Ponderosa Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Western White Pine Group,,,Reforestation Pasture: Western White Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Reforestation Pasture: Fir/Spruce/Mountain Hemlock Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Lodgepole Pine Group,,,Reforestation Pasture: Lodgepole Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Hemlock/Sitka Spruce Group,,,Reforestation Pasture: Hemlock/Sitka Spruce Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Western Larch Group,,,Reforestation Pasture: Western Larch Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Redwood Group,,,Reforestation Pasture: Redwood Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Other Western Softwood Group,,,Reforestation Pasture: Other Western Softwood Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: California Mixed Conifer Group,,,Reforestation Pasture: California Mixed Conifer Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Exotic Softwoods Group,,,Reforestation Pasture: Exotic Softwoods Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Oak/Pine Group,,,Reforestation Pasture: Oak/Pine Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Oak/Hickory Group,,,Reforestation Pasture: Oak/Hickory Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Oak/Gum/Cypress Group,,,Reforestation Pasture: Oak/Gum/Cypress Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Elm/Ash/Cottonwood Group,,,Reforestation Pasture: Elm/Ash/Cottonwood Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Maple/Beech/Birch Group,,,Reforestation Pasture: Maple/Beech/Birch Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Aspen/Birch Group,,,Reforestation Pasture: Aspen/Birch Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Alder/Maple Group,,,Reforestation Pasture: Alder/Maple Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Western Oak Group,,,Reforestation Pasture: Western Oak Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Tanoak/Laurel Group,,,Reforestation Pasture: Tanoak/Laurel Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Other Western Hardwoods Group,,,Reforestation Pasture: Other Western Hardwoods Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Tropical Hardwoods Group,,,Reforestation Pasture: Tropical Hardwoods Group,1,,,,,,,,
,,,Agriculture: Pasture,,Forest: Exotic Hardwoods Group,,,Reforestation Pasture: Exotic Hardwoods Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: White/Red/Jack Pine Group,,,Reforestation Cropland: White/Red/Jack Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Spruce/Fir Group,,,Reforestation Cropland: Spruce/Fir Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Longleaf/Slash Pine Group,,,Reforestation Cropland: Longleaf/Slash Pine Group,1,,,,,,,,
